location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,verified,application_date,works_outside_US
"Wayne, WV",West Virginia,46.06,48,'all paid',?,3566,240.61,4<=X<7,?,'male single',none,2,car,30,none,?,1,skilled,1,none,yes,Bad,?,9/30/1994,yes
"Albany, WY",Wyoming,-9858.79,6,'critical/other existing credit','new car',860,6.1,>=7,1,'female div/dep/mar',?,4,'no known property',39,none,own,2,?,1,yes,yes,GOOD,?,10/1/1994,yes
"Anchorage, AK",Alaska,0,12,'critical/other existing credit','new car',682,0,4<=X<7,4,'female div/dep/mar',none,3,car,51,none,own,2,skilled,1,yes,N,G,?,10/2/1994,n
"Pulaski, AR",Arkansas,0,36,'critical/other existing credit',furniture/equipment,5371,0,1<=X<4,3,'male single',?,2,'life insurance',28,none,own,2,skilled,1,?,N,GOOD,?,10/3/1994,n
"Maricopa, AZ",Arizona,0,18,?,radio/tv,1582,0,>=7,4,?,none,4,car,46,none,own,?,skilled,1,?,YES,B,?,10/4/1994,YES
"Maricopa, AZ",Arizona,0,6,'existing paid',?,1346,0,>=7,2,'male single',?,4,'no known property',42,bank,?,1,skilled,2,yes,NO,good,?,10/5/1994,NO
"Pima, AZ",Arizona,0,?,'existing paid',radio/tv,1924,0,1<=X<4,1,'male single',none,4,'life insurance',38,none,own,1,skilled,1,yes,N,bad,?,10/6/1994,n
"Alameda, CA",California,0,36,'existing paid',radio/tv,5848,0,1<=X<4,4,'male single',none,1,car,24,none,own,1,skilled,1,?,N,Bad,?,10/7/1994,n
"Contra Costa, CA",California,139.47,24,'critical/other existing credit','used car',7758,7369.04,>=7,2,'female div/dep/mar',?,4,'no known property',29,none,rent,1,skilled,1,none,Yes,B,?,10/8/1994,YES
"Contra Costa, CA",California,190.98,24,'delayed previously',business,6967,438.53,4<=X<7,4,'male single',none,4,car,36,none,rent,1,'high qualif/self emp/mgmt',1,?,y,Bad,?,10/9/1994,y
"Fresno, CA",California,-5781.67,12,'existing paid',furniture/equipment,1282,59.7,1<=X<4,2,'female div/dep/mar',none,4,?,20,none,rent,1,skilled,1,none,no,G,?,10/10/1994,no
"Kern, CA",California,-2884.07,9,'critical/other existing credit',repairs,?,100.46,>=7,3,'male single',guarantor,4,'real estate',48,none,own,2,skilled,2,none,Y,bad,?,10/11/1994,Y
"Kern, CA",California,-7930.96,12,'all paid',retraining,339,22.56,?,4,'male mar/wid',none,1,car,45,bank,own,1,'unskilled resident',1,none,no,G,?,10/12/1994,no
"Los Angeles, CA",California,144.52,?,'existing paid','new car',3512,345.1,4<=X<7,2,?,none,3,car,38,bank,own,2,skilled,1,yes,n,G,?,10/13/1994,N
"Los Angeles, CA",California,0,6,'critical/other existing credit',radio/tv,1898,0,1<=X<4,1,'male single',none,2,'real estate',34,none,own,2,'unskilled resident',?,none,n,Good,?,10/14/1994,N
"San Jose, CA",California,0,24,?,radio/tv,2872,0,>=7,?,?,?,?,'real estate',?,none,own,1,skilled,2,?,no,Good,?,10/15/1994,no
"Los Angeles, CA",California,0,18,'critical/other existing credit','new car',1055,0,<1,4,'female div/dep/mar',none,1,'life insurance',30,none,own,2,skilled,1,?,N,Good,?,10/16/1994,n
"Los Angeles, CA",California,0,?,'existing paid','domestic appliance',1262,0,4<=X<7,4,'male single',none,3,'life insurance',?,none,own,2,skilled,1,yes,NO,good,?,10/17/1994,NO
"Los Angeles, CA",California,31.09,10,'existing paid','new car',7308,52.29,unemployed,2,'male single',none,4,'no known property',70,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,no,Bad,?,10/18/1994,no
"San Francisco, CA",California,0,36,'existing paid','new car',909,0,>=7,4,?,none,4,'life insurance',36,none,own,1,skilled,1,?,n,G,?,10/19/1994,N
"Los Angeles, CA",California,0,6,'existing paid',furniture/equipment,2978,0,1<=X<4,1,'male single',none,2,car,32,none,own,1,skilled,?,yes,NO,Bad,?,10/20/1994,NO
"Monterey, CA",California,-3326.98,18,'existing paid',furniture/equipment,1131,33.43,unemployed,4,'female div/dep/mar',none,?,car,33,none,own,1,skilled,1,none,N,good,?,10/21/1994,n
"Orange, CA",California,47.93,11,'existing paid',furniture/equipment,1577,7895.35,<1,4,'female div/dep/mar',none,1,'real estate',20,none,own,1,skilled,1,none,1,B,?,10/22/1994,1
"Riverside, CA",California,0,24,'existing paid',furniture/equipment,3972,0,4<=X<7,2,?,none,4,'life insurance',25,none,rent,?,skilled,1,yes,NO,Good,?,10/23/1994,NO
"Sacramento, CA",California,58.87,24,'critical/other existing credit',business,1935,60,>=7,4,'male div/sep',none,4,'real estate',31,none,?,2,skilled,1,yes,y,good,?,10/24/1994,y
"Sacramento, CA",California,-5652,15,'no credits/all paid','new car',950,62.41,>=7,4,'male single',none,?,car,33,none,rent,2,skilled,2,none,yes,Bad,?,10/25/1994,yes
"San Bernardino, CA",California,0,12,'existing paid',furniture/equipment,763,0,1<=X<4,4,'female div/dep/mar',none,1,'real estate',?,?,own,1,skilled,1,yes,1,B,?,10/26/1994,1
"San Bernardino, CA",California,64,24,'delayed previously',furniture/equipment,2064,54.99,unemployed,3,'female div/dep/mar',none,?,'life insurance',34,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,GOOD,?,10/27/1994,yes
"San Bernardino, CA",California,84.67,8,'existing paid',radio/tv,1414,58.58,1<=X<4,4,'male single',guarantor,2,'real estate',33,none,own,1,skilled,1,?,Y,GOOD,?,10/28/1994,Y
"San Diego, CA",California,-4199.42,21,'delayed previously',education,3414,56.73,<1,2,'male single',none,?,'life insurance',26,none,own,2,skilled,1,none,1,G,?,10/29/1994,1
"San Francisco, CA",California,0,30,'all paid','used car',?,0,?,4,'female div/dep/mar',none,1,'real estate',53,bank,own,1,?,1,yes,YES,bad,?,10/30/1994,YES
"San Joaquin, CA",California,-7153.11,12,'existing paid',furniture/equipment,2577,26.63,1<=X<4,2,?,none,1,car,?,none,own,1,skilled,?,none,Y,G,?,10/31/1994,Y
"Solano, CA",California,-3587.09,6,'critical/other existing credit',radio/tv,338,840.74,>=7,4,'male single',none,4,?,52,none,own,2,skilled,1,?,Y,bad,?,11/1/1994,Y
"Ventura, CA",California,0,12,'existing paid',radio/tv,1963,0,4<=X<7,4,'male single',?,2,?,31,none,?,2,'high qualif/self emp/mgmt',2,yes,Y,Bad,?,11/2/1994,Y
"El Paso, CO",Colorado,0,21,'critical/other existing credit',?,571,0,>=7,?,'male single',none,4,'real estate',65,none,own,?,skilled,1,none,YES,G,?,11/3/1994,YES
"Denver, CO",Colorado,0,36,'delayed previously',?,9572,0,<1,1,'male div/sep',none,1,car,28,none,own,2,skilled,1,none,NO,good,?,11/4/1994,NO
"Hartford, CT",Connecticut,55.91,36,'delayed previously',?,4455,21.64,1<=X<4,?,'male div/sep',?,2,'real estate',30,stores,own,2,'high qualif/self emp/mgmt',1,yes,Yes,Good,?,11/5/1994,YES
District of Columbia,District of Columbia,-4718.69,21,'all paid',?,1647,0,1<=X<4,4,'male single',none,2,'life insurance',40,none,?,2,'unskilled resident',2,none,No,Bad,?,11/6/1994,NO
"New Castle, DE",Delaware,0,24,'critical/other existing credit',furniture/equipment,3777,0,1<=X<4,4,'male single',none,4,'real estate',50,none,own,1,skilled,1,yes,YES,Bad,?,11/7/1994,YES
"Chatham, GA",Georgia,190.69,18,'critical/other existing credit','new car',884,90.53,>=7,4,'male single',none,4,car,36,bank,own,1,skilled,2,yes,Y,good,?,11/8/1994,Y
"Clayton, GA",Georgia,0,15,?,radio/tv,1360,0,1<=X<4,4,?,none,2,'life insurance',31,none,own,2,skilled,1,none,y,Bad,?,11/9/1994,y
"De Kalb, GA",Georgia,0,9,'all paid',?,5129,0,>=7,2,'female div/dep/mar',none,?,?,?,bank,'for free',1,'high qualif/self emp/mgmt',?,yes,no,G,?,11/10/1994,no
"Dougherty, GA",Georgia,18.61,16,'critical/other existing credit','new car',1175,95.88,unemployed,2,'male single',?,3,car,68,none,'for free',3,'unemp/unskilled non res',1,yes,No,bad,?,11/11/1994,NO
"Dougherty, GA",Georgia,-8569.38,12,'existing paid',radio/tv,674,319.57,4<=X<7,4,'male mar/wid',none,?,?,20,none,own,1,skilled,1,?,y,good,?,11/12/1994,y
"Fulton, GA",Georgia,122.36,18,'no credits/all paid',furniture/equipment,3244,86.38,1<=X<4,1,'female div/dep/mar',none,?,car,33,bank,own,2,skilled,1,yes,1,B,?,11/13/1994,1
"Fulton, GA",Georgia,0,24,'existing paid',business,4591,0,1<=X<4,2,'male single',none,3,?,54,none,own,3,?,?,yes,Y,bad,?,11/14/1994,Y
"Gwinnett, GA",Georgia,5.06,48,'no credits/all paid',business,3844,0,4<=X<7,4,'male single',none,4,'no known property',34,none,?,1,'unskilled resident',2,none,1,G,?,11/15/1994,1
"Muscogee, GA",Georgia,2.66,27,'existing paid',business,3915,90.63,1<=X<4,4,'male single',none,2,?,36,none,own,1,skilled,2,yes,Y,good,?,11/16/1994,Y
"Fulton, GA",Georgia,0,6,'existing paid',radio/tv,2108,0,4<=X<7,2,'male mar/wid',none,2,'real estate',29,none,?,1,skilled,1,none,1,Bad,?,11/17/1994,1
"Honolulu, HI",Hawaii,0,45,'existing paid',radio/tv,3031,0,1<=X<4,?,'male single',guarantor,4,'life insurance',21,none,rent,1,skilled,1,none,y,bad,?,11/18/1994,y
"Cook, IL",Illinois,0,?,'critical/other existing credit',education,1501,0,>=7,2,'female div/dep/mar',none,3,car,34,none,own,2,'high qualif/self emp/mgmt',1,yes,y,Good,?,11/19/1994,y
"Vanderburgh, IN",Indiana,0,6,'critical/other existing credit',radio/tv,1382,0,1<=X<4,1,'female div/dep/mar',none,1,car,28,none,own,2,skilled,1,yes,Yes,Bad,?,11/20/1994,YES
"Marion, IN",Indiana,41.55,?,'existing paid',furniture/equipment,951,145.16,<1,4,'female div/dep/mar',none,4,car,27,bank,rent,4,skilled,1,?,YES,Good,?,11/21/1994,YES
"Fayette, KY",Kentucky,73.46,24,'existing paid','used car',2760,0,>=7,4,'male single',none,4,'no known property',36,bank,'for free',1,skilled,1,yes,no,Bad,?,11/22/1994,no
"Jefferson, KY",Kentucky,5.45,18,'delayed previously',?,4297,38.61,>=7,4,'male div/sep',none,3,?,40,none,own,1,'high qualif/self emp/mgmt',1,yes,No,GOOD,?,11/23/1994,NO
"Madison, KY",Kentucky,0,9,'critical/other existing credit',?,936,0,>=7,?,'male single',none,2,car,?,none,own,2,skilled,1,yes,YES,Bad,?,11/24/1994,YES
"Caddo, LA",Louisiana,-1525.5,12,'existing paid',?,1168,72.61,1<=X<4,4,'male mar/wid',none,3,?,27,none,own,1,'unskilled resident',1,none,Yes,Bad,?,11/25/1994,YES
"East Baton Rouge, LA",Louisiana,0,27,'delayed previously',business,5117,0,4<=X<7,3,'male single',none,4,car,?,none,own,2,skilled,?,none,1,bad,?,11/26/1994,1
"Jefferson, LA",Louisiana,-4203.08,12,'existing paid',retraining,902,72.58,4<=X<7,4,'male mar/wid',?,4,'life insurance',21,none,rent,1,skilled,1,none,no,Bad,?,11/27/1994,no
"Orleans, LA",Louisiana,0,12,'critical/other existing credit','new car',1495,0,>=7,?,'male single',none,1,?,38,none,own,?,'unskilled resident',2,none,no,bad,?,11/28/1994,no
"Middlesex, MA",Massachusetts,-497.79,30,'critical/other existing credit',?,10623,10.76,>=7,3,'male single',none,4,'no known property',38,none,'for free',3,?,2,yes,n,good,?,11/29/1994,N
"Suffolk, MA",Massachusetts,0,12,'critical/other existing credit',furniture/equipment,1935,0,>=7,4,'male single',none,4,'real estate',43,none,?,3,?,1,yes,No,Bad,?,11/30/1994,NO
"Anne Arundel, MD",Maryland,93.51,12,'critical/other existing credit','domestic appliance',1424,69.55,4<=X<7,?,'male single',none,3,'life insurance',26,none,own,1,?,1,none,n,B,?,12/1/1994,N
"Prince George's, MD",Maryland,-1515.21,24,'existing paid',business,6568,9.01,1<=X<4,2,?,none,2,car,21,stores,own,1,'unskilled resident',1,none,1,GOOD,?,12/2/1994,1
"Baltimore city, MD",Maryland,0,12,'existing paid','used car',1413,0,4<=X<7,3,'male single',?,2,'life insurance',55,none,own,?,skilled,?,?,n,GOOD,?,12/3/1994,N
"Kalamazoo, MI",Michigan,0,9,'critical/other existing credit',radio/tv,3074,0,?,1,?,none,2,'real estate',33,none,?,2,skilled,2,none,No,bad,?,12/4/1994,NO
"Saginaw, MI",Michigan,0,36,'existing paid',radio/tv,3835,0,>=7,2,'female div/dep/mar',none,4,'real estate',45,none,own,1,'unskilled resident',1,yes,y,Bad,?,12/5/1994,y
"Wayne, MI",Michigan,-2297.6,27,'no credits/all paid',business,5293,25.73,unemployed,2,'male single',none,?,?,?,stores,?,2,skilled,1,yes,n,good,?,12/6/1994,N
"Wayne, MI",Michigan,7044.86,30,'delayed previously',business,1908,57.07,>=7,4,'male single',none,4,'real estate',66,none,own,1,'high qualif/self emp/mgmt',1,yes,no,Bad,?,12/7/1994,no
"Greene, MO",Missouri,0,36,?,radio/tv,3342,0,>=7,4,?,none,?,car,?,none,own,?,skilled,1,yes,Yes,G,?,12/8/1994,YES
"Greene, MO",Missouri,119.36,6,'critical/other existing credit',?,932,0,?,1,'female div/dep/mar',none,3,'life insurance',39,none,own,2,'unskilled resident',1,none,no,G,?,12/9/1994,no
"Rolla, MO",Missouri,0,18,'no credits/all paid',business,3104,0,4<=X<7,?,'male single',none,1,'life insurance',?,bank,own,1,skilled,1,yes,n,GOOD,?,12/10/1994,N
"Greene, MO",Missouri,8427.47,36,'existing paid',radio/tv,3913,94.68,1<=X<4,2,'male single',?,?,'real estate',23,none,own,1,skilled,1,yes,N,B,?,12/11/1994,n
"Jefferson City, MO",Missouri,-5135.08,24,'existing paid',furniture/equipment,3021,0,1<=X<4,2,'male div/sep',none,2,'real estate',24,none,rent,1,'unskilled resident',1,none,N,Good,yes,12/12/1994,n
"Jackson, MO",Missouri,0,10,'existing paid','new car',1364,0,1<=X<4,2,'female div/dep/mar',none,4,?,64,?,own,1,skilled,1,yes,yes,Bad,?,12/13/1994,yes
"Jefferson City, MO",Missouri,41.29,12,'existing paid',?,625,27.59,<1,4,'male mar/wid',guarantor,1,'real estate',26,bank,own,1,'unskilled resident',1,none,YES,Bad,?,12/14/1994,YES
"Forrest, MS",Mississippi,-2287.81,12,?,education,1200,0,1<=X<4,4,'female div/dep/mar',none,4,?,23,bank,rent,?,skilled,1,yes,Yes,G,?,12/15/1994,YES
"Hinds, MS",Mississippi,0,12,'existing paid',?,707,0,1<=X<4,4,'male single',none,2,'real estate',30,bank,own,2,skilled,1,none,yes,GOOD,?,12/16/1994,yes
"Cumberland, NC",North Carolina,0,24,'delayed previously',?,2978,0,1<=X<4,4,'male single',none,4,'real estate',32,none,own,2,?,2,yes,YES,GOOD,?,12/17/1994,YES
"Nash, NC",North Carolina,0,15,'existing paid','used car',4657,0,1<=X<4,3,'male single',none,2,car,30,?,own,1,skilled,1,?,Y,good,?,12/18/1994,Y
"Guilford, NC",North Carolina,0,36,'no credits/all paid',repairs,2613,0,1<=X<4,4,'male single',?,2,car,27,none,own,?,skilled,1,none,N,B,?,12/19/1994,n
"Mecklenburg, NC",North Carolina,149.22,?,'existing paid',radio/tv,10961,2648.91,4<=X<7,1,'male single','co applicant',2,'no known property',27,bank,own,2,skilled,1,yes,No,bad,?,12/20/1994,NO
"Pitt, NC",North Carolina,-4808.4,12,'existing paid',furniture/equipment,7865,0,>=7,?,'male single',none,?,'no known property',53,none,?,1,'high qualif/self emp/mgmt',1,yes,N,Good,?,12/21/1994,n
"Hillsborough, NH",New Hampshire,0,9,'existing paid',radio/tv,1478,0,4<=X<7,4,'male single',none,2,car,22,none,own,1,skilled,?,none,no,B,?,12/22/1994,no
"Atlantic, NJ",New Jersey,0,24,'existing paid',furniture/equipment,3149,0,<1,4,'male single',none,1,'no known property',22,bank,'for free',1,skilled,1,none,N,Bad,?,12/23/1994,n
"Burlington, NJ",New Jersey,7308.81,36,'existing paid',?,4210,7.28,1<=X<4,4,'male single',none,2,car,26,?,own,1,skilled,1,none,No,good,?,12/24/1994,NO
"Camden, NJ",New Jersey,0,9,'existing paid','new car',2507,0,?,2,'male single',?,4,'no known property',51,none,'for free',?,'unskilled resident',1,?,N,Good,?,12/25/1994,n
"Essex, NJ",New Jersey,0,12,?,radio/tv,2141,0,4<=X<7,3,'male single',none,1,'no known property',35,none,own,1,skilled,1,none,No,Bad,?,12/26/1994,NO
"Essex, NJ",New Jersey,154.16,18,?,radio/tv,866,86.28,1<=X<4,4,'male mar/wid',guarantor,2,'real estate',25,none,own,1,'unskilled resident',?,none,N,G,?,12/27/1994,n
"Mercer, NJ",New Jersey,0,4,'critical/other existing credit',radio/tv,1544,0,4<=X<7,2,'male single',none,1,'real estate',42,none,own,3,'unskilled resident',2,none,yes,Bad,?,12/28/1994,yes
"Passaic, NJ",New Jersey,-9256.59,24,'existing paid',radio/tv,1823,53.53,unemployed,4,'male single',none,2,car,30,stores,?,1,'high qualif/self emp/mgmt',2,none,y,GOOD,?,12/29/1994,y
"Essex, NJ",New Jersey,69.73,6,'existing paid','new car',14555,0,unemployed,1,'male single',none,2,'life insurance',23,none,own,1,'unemp/unskilled non res',1,yes,NO,bad,?,12/30/1994,NO
"Bernalillo, NM",New Mexico,57.58,21,'existing paid',business,2767,0,>=7,4,?,none,2,car,61,bank,rent,?,'unskilled resident',1,none,no,bad,?,Dec-31-1994,no
"Otero, NM",New Mexico,0,12,'critical/other existing credit',?,1291,0,1<=X<4,4,'female div/dep/mar',none,2,'life insurance',-3435,none,own,2,?,1,none,Y,G,?,1/1/1995,Y
"Otero, NM",New Mexico,-4641.13,30,'existing paid',?,2522,71.17,>=7,1,'male single',?,3,'life insurance',39,none,own,1,skilled,2,none,no,G,?,1/2/1995,no
"Clark, NV",Nevada,-4772.2,24,'existing paid','new car',915,0,>=7,4,?,none,2,car,?,bank,own,?,skilled,1,none,no,GOOD,?,1/3/1995,no
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1/4/1995,?
"Erie, NY",New York,0,6,'existing paid',radio/tv,1595,0,4<=X<7,3,?,none,2,?,51,none,own,1,skilled,2,none,no,B,?,1/5/1995,no
"Monroe, NY",New York,-6913.58,48,'no credits/all paid','used car',4605,82.93,>=7,3,'male single',none,4,?,24,none,'for free',2,skilled,2000000000,none,yes,G,?,1/6/1995,yes
"New York, NY",New York,0,12,'critical/other existing credit',business,1185,0,1<=X<4,3,'female div/dep/mar',none,2,?,27,none,own,2,skilled,1,none,1,Good,?,1/7/1995,1
"Onondaga, NY",New York,0,12,'all paid',retraining,3447,0,1<=X<4,4,'female div/dep/mar',none,3,'real estate',35,none,own,1,'unskilled resident',2,none,N,B,?,1/8/1995,n
"Suffolk, NY",New York,0,24,'existing paid',business,1258,0,4<=X<7,4,'male single',none,1,'real estate',25,none,own,1,skilled,1,yes,n,bad,?,1/9/1995,N
"Mahoning, OH",Ohio,0,12,'critical/other existing credit',radio/tv,717,0,>=7,4,'male single',none,4,'real estate',52,none,?,3,?,1,none,1,B,?,1/10/1995,1
"Stark, OH",Ohio,0,6,'no credits/all paid','new car',1204,0,1<=X<4,?,'male single',none,1,'no known property',35,bank,rent,1,skilled,1,none,No,Good,?,1/11/1995,NO
"Summit, OH",Ohio,4844.17,24,'existing paid',?,1925,84.16,1<=X<4,2,'male single',none,2,'real estate',26,none,own,1,skilled,1,none,Yes,good,?,1/12/1995,YES
"Hamilton, OH",Ohio,0,18,'existing paid',radio/tv,433,0,unemployed,3,'female div/dep/mar','co applicant',4,'real estate',22,none,rent,1,skilled,1,none,Y,Good,?,1/13/1995,Y
"Cuyahoga, OH",Ohio,-350.28,6,'critical/other existing credit','new car',666,2438.92,4<=X<7,3,'female div/dep/mar',none,?,'real estate',39,none,own,2,'unskilled resident',1,yes,1,Good,?,1/14/1995,1
"Cuyahoga, OH",Ohio,2323.65,12,'existing paid',furniture/equipment,2251,9.33,1<=X<4,1,'female div/dep/mar',none,2,car,46,none,own,?,'unskilled resident',1,none,No,G,?,1/15/1995,NO
"Cuyahoga, OH",Ohio,84.68,30,'existing paid','new car',2150,47.59,1<=X<4,4,'female div/dep/mar',guarantor,2,'no known property',24,bank,own,?,?,1,none,y,B,?,1/16/1995,y
"Cuyahoga, OH",Ohio,0,24,'delayed previously',furniture/equipment,4151,0,1<=X<4,2,'male single',none,3,'life insurance',35,none,own,?,skilled,1,none,Y,bad,?,1/17/1995,Y
"Cuyahoga, OH",Ohio,39.8,9,'existing paid',furniture/equipment,2030,0,4<=X<7,2,'male single',?,1,car,24,none,?,1,skilled,1,yes,no,G,?,1/18/1995,no
"Franklin, OH",Ohio,49.03,?,'delayed previously',radio/tv,7418,0,1<=X<4,1,'male single',none,1,'real estate',27,none,own,1,'unskilled resident',1,none,yes,B,?,1/19/1995,yes
"Multnomah, OR",Oregon,0,24,'critical/other existing credit',?,2684,0,1<=X<4,?,'male single',none,2,'real estate',35,none,own,2,'unskilled resident',1,none,NO,G,?,1/20/1995,NO
"Dauphin, PA",Pennsylvania,-255.77,12,'all paid',radio/tv,2149,14.98,1<=X<4,4,?,none,1,'no known property',29,none,'for free',1,?,1,none,Y,bad,?,1/21/1995,Y
"Delaware, PA",Pennsylvania,0,15,'existing paid','used car',3812,0,<1,1,'female div/dep/mar',?,4,car,23,none,own,?,skilled,1,yes,No,GOOD,?,1/22/1995,NO
"Lancaster, PA",Pennsylvania,0,11,'critical/other existing credit',radio/tv,1154,0,unemployed,?,'female div/dep/mar',none,4,'real estate',57,?,own,3,'unskilled resident',1,none,NO,Good,?,1/23/1995,NO
"Philadelphia, PA",Pennsylvania,-5536.22,12,?,furniture/equipment,1657,45.58,1<=X<4,2,'male single',none,2,'real estate',?,none,own,1,skilled,1,none,YES,Good,?,1/24/1995,YES
"Providence, RI",Rhodes Island,-1579.52,24,'existing paid',radio/tv,1603,74.65,?,4,?,none,?,car,55,none,own,1,skilled,1,none,YES,bad,?,1/25/1995,YES
"Anderson, SC",South Carolina,-1502.18,18,'critical/other existing credit','new car',5302,83.75,>=7,2,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',?,yes,n,G,?,1/26/1995,N
"Charleston, SC",South Carolina,0,12,'critical/other existing credit',education,?,0,?,2,'female div/dep/mar',none,4,'no known property',57,bank,'for free',3,'unskilled resident',1,none,yes,Good,?,1/27/1995,yes
"Greenville, SC",South Carolina,0,10,'critical/other existing credit','new car',1231,0,>=7,3,'male single',none,?,'real estate',32,none,own,2,'unskilled resident',2,none,no,Bad,?,1/28/1995,no
"Horry, SC",South Carolina,135.62,15,'existing paid',radio/tv,802,73.76,?,4,?,none,3,?,37,none,own,1,skilled,2,none,n,GOOD,?,1/29/1995,N
"Jasper, SC",South Carolina,0,36,'critical/other existing credit',business,6304,0,>=7,4,?,none,4,'real estate',36,none,own,2,skilled,?,none,no,good,?,1/30/1995,no
"Lexington, SC",South Carolina,0,24,'existing paid',radio/tv,1533,0,<1,4,'female div/dep/mar',none,3,car,38,stores,own,1,skilled,1,?,Yes,G,?,1/31/1995,YES
"Spartanburg, SC",South Carolina,-517.47,14,'existing paid','new car',8978,85.21,>=7,1,'male div/sep',none,4,'life insurance',45,none,own,1,'high qualif/self emp/mgmt',1,yes,N,bad,?,2/1/1995,n
"Hughes, SD",South Dakota,0,24,'existing paid',radio/tv,999,0,>=7,?,'male single',none,2,car,?,none,own,2,skilled,1,none,Yes,good,?,2/2/1995,YES
"Hughes, SD",South Dakota,0,18,'existing paid','new car',2662,0,?,4,'male single',none,?,'life insurance',32,none,?,1,skilled,1,none,Y,Bad,?,2/3/1995,Y
"Hughes, SD",South Dakota,0,12,'critical/other existing credit',furniture/equipment,?,0,4<=X<7,3,'female div/dep/mar',none,4,car,37,none,rent,1,skilled,1,yes,N,Bad,?,2/4/1995,n
"Davidson, TN",Tennessee,171.45,48,'all paid','new car',12169,0,unemployed,4,'male single','co applicant',4,'no known property',36,none,'for free',1,'high qualif/self emp/mgmt',1,yes,No,Good,?,2/5/1995,NO
"Haywood, TN",Tennessee,187.45,48,'existing paid',radio/tv,3060,67.23,4<=X<7,?,?,none,4,'real estate',28,none,?,?,skilled,1,none,yes,good,?,2/6/1995,yes
"Robertson, TN",Tennessee,-5525.31,30,?,repairs,11998,38.84,<1,?,'male div/sep',none,?,?,34,none,own,1,'unskilled resident',1,yes,no,GOOD,?,2/7/1995,no
"Shelby, TN",Tennessee,0,9,'existing paid',radio/tv,?,0,1<=X<4,?,?,none,2,'real estate',32,none,own,1,skilled,2,none,y,GOOD,?,2/8/1995,y
"Dallas, TX",Texas,0,18,'critical/other existing credit',?,?,0,?,?,'female div/dep/mar',none,2,car,26,none,own,2,skilled,1,none,N,good,?,2/9/1995,n
"El Paso, TX",Texas,-6825.17,12,?,furniture/equipment,1262,0,>=7,2,'male div/sep',?,4,'life insurance',49,none,own,1,'unskilled resident',1,yes,N,good,?,2/10/1995,n
"El Paso, TX",Texas,0,6,'existing paid',furniture/equipment,4611,0,<1,1,'female div/dep/mar',?,?,'life insurance',32,none,own,1,skilled,1,none,n,G,?,2/11/1995,N
"Franklin, TX",Texas,0,24,?,radio/tv,1901,0,1<=X<4,4,?,?,4,car,29,none,rent,1,'high qualif/self emp/mgmt',?,yes,n,B,?,2/12/1995,N
"Harris, TX",Texas,0,15,'critical/other existing credit',?,?,0,>=7,3,?,none,4,'no known property',23,none,rent,2,skilled,1,yes,Y,Good,?,2/13/1995,Y
"Harris, TX",Texas,0,12,'existing paid',furniture/equipment,1574,0,1<=X<4,4,'male single',none,2,'real estate',50,none,own,1,skilled,1,?,no,B,?,2/14/1995,no
"Hidalgo, TX",Texas,0,18,'all paid',radio/tv,1445,0,4<=X<7,4,?,none,4,car,?,?,own,1,'unskilled resident',1,none,No,Good,?,2/15/1995,NO
"Jefferson, TX",Texas,0,15,'critical/other existing credit',?,1520,0,>=7,4,'male single',none,4,'life insurance',63,none,own,1,skilled,1,none,n,GOOD,?,2/16/1995,N
"Jefferson, TX",Texas,19.48,24,?,'new car',3878,384.02,<1,4,'male div/sep',none,2,car,?,?,?,1,skilled,1,yes,yes,good,?,2/17/1995,yes
"Nueces, TX",Texas,-5888.3,?,'existing paid','new car',?,58.62,<1,1,'female div/dep/mar',?,1,'real estate',35,none,own,1,'unskilled resident',1,?,NO,good,?,2/18/1995,NO
"Potter, TX",Texas,-7579.53,48,'existing paid','used car',?,24.62,4<=X<7,4,'male single',none,3,'life insurance',26,none,own,1,skilled,2,?,YES,Bad,?,2/19/1995,YES
"Tarrant, TX",Texas,130.14,48,'delayed previously',other,?,376.5,unemployed,2,'male single',none,?,'no known property',31,none,'for free',1,'high qualif/self emp/mgmt',1,yes,No,Good,?,2/20/1995,NO
"Travis, TX",Texas,169.03,12,'existing paid',radio/tv,1092,26.55,1<=X<4,4,'female div/dep/mar',?,4,'real estate',?,none,own,2,skilled,1,?,n,Good,?,2/21/1995,N
"Dallas, TX",Texas,-7872.78,24,?,radio/tv,1024,0,<1,4,'male mar/wid',none,4,'real estate',48,stores,own,1,skilled,1,none,1,B,?,2/22/1995,1
"Harris, TX",Texas,0,12,'existing paid',business,1076,0,1<=X<4,2,?,none,2,'real estate',26,?,own,1,skilled,1,yes,n,B,?,Feb-23-1995,N
"Bexar, TX",Texas,155.74,36,'existing paid','used car',9398,93.87,<1,1,'male mar/wid',none,4,car,28,none,rent,1,'high qualif/self emp/mgmt',1,yes,y,G,?,2/24/1995,y
