state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,total,proportion,gender,class
Hawaii,2,7,Good,radio/tv,6,0,2,-1,male single,guarantor,4,life insurance,1,none,rent,1,skilled,1,none,YES,6,1,male,BAD
Illinois,2,2,Bad,education,2,0,4,2,female div/dep/mar,none,3,car,2,none,own,2,high qualif/self emp/mgmt,1,yes,YES,3,1,female,GOOD
Indiana,2,0,Bad,radio/tv,2,0,2,1,female div/dep/mar,none,1,car,2,none,own,2,skilled,1,yes,YES,3,1,female,BAD
Indiana,4,2,Good,furniture/equipment,0,1,1,4,female div/dep/mar,none,4,car,2,bank,rent,4,skilled,1,unknown,YES,2,2,female,GOOD
Kentucky,4,4,Good,used car,6,0,4,4,male single,none,4,no known property,2,bank,for free,1,skilled,1,yes,NO,6,2,male,BAD
Kentucky,4,2,Moderate,other,8,0,4,4,male div/sep,none,3,no known property,2,none,own,1,high qualif/self emp/mgmt,1,yes,NO,7,2,male,GOOD
Kentucky,2,0,Bad,other,0,0,4,-1,male single,none,2,car,2,none,own,2,skilled,1,yes,YES,2,1,male,BAD
Louisiana,2,1,Good,other,1,0,2,4,male mar/wid,none,3,no known property,2,none,own,1,unskilled resident,1,none,YES,1,1,male,BAD
Louisiana,2,5,Moderate,business,8,0,3,3,male single,none,4,car,2,none,own,2,skilled,1,none,YES,8,1,male,BAD
Louisiana,1,1,Good,retraining,0,0,3,4,male mar/wid,unknown,4,life insurance,1,none,rent,1,skilled,1,none,NO,0,0,male,BAD
Louisiana,2,1,Bad,new car,2,0,4,-1,male single,none,1,no known property,2,none,own,-1,unskilled resident,2,none,NO,3,1,male,BAD
Massachusetts,2,6,Bad,other,9,0,4,3,male single,none,4,no known property,2,none,for free,3,unknown,2,yes,NO,9,1,male,GOOD
Massachusetts,2,1,Bad,furniture/equipment,3,0,4,4,male single,none,4,real estate,3,none,unknown,3,unknown,1,yes,NO,4,1,male,BAD
Maryland,5,1,Bad,domestic appliance,2,0,3,-1,male single,none,3,life insurance,2,none,own,1,unknown,1,none,NO,3,2,male,BAD
Maryland,2,4,Good,business,8,0,2,2,unknown,none,2,car,1,stores,own,1,unskilled resident,1,none,YES,8,1,unknown,GOOD
Maryland,2,1,Good,used car,2,0,3,3,male single,unknown,2,life insurance,3,none,own,-1,skilled,1,unknown,NO,3,1,male,GOOD
Michigan,2,0,Bad,radio/tv,6,0,0,1,unknown,none,2,real estate,2,none,unknown,2,skilled,2,none,NO,6,1,unknown,BAD
Michigan,2,6,Good,radio/tv,7,0,4,2,female div/dep/mar,none,4,real estate,3,none,own,1,unskilled resident,1,yes,YES,7,1,female,BAD
Michigan,1,5,Moderate,business,8,0,0,2,male single,none,-1,no known property,2,stores,unknown,2,skilled,1,yes,NO,6,1,male,GOOD
Michigan,6,6,Moderate,business,3,0,4,4,male single,none,4,real estate,4,none,own,1,high qualif/self emp/mgmt,1,yes,NO,9,3,male,BAD
Missouri,2,6,Moderate,radio/tv,7,0,4,4,unknown,none,-1,car,2,none,own,-1,skilled,1,yes,YES,6,1,unknown,GOOD
Missouri,5,0,Bad,other,0,0,0,1,female div/dep/mar,none,3,life insurance,2,none,own,2,unskilled resident,1,none,NO,2,2,female,GOOD
Missouri,2,2,Moderate,business,6,0,3,-1,male single,none,1,life insurance,2,bank,own,1,skilled,1,yes,NO,6,1,male,GOOD
Missouri,6,6,Good,radio/tv,7,0,2,2,male single,unknown,-1,real estate,1,none,own,1,skilled,1,yes,NO,9,3,male,BAD
Missouri,1,4,Good,furniture/equipment,6,0,2,2,male div/sep,none,2,real estate,1,none,rent,1,unskilled resident,1,none,NO,1,1,male,GOOD
Missouri,2,1,Good,new car,2,0,2,2,female div/dep/mar,none,4,no known property,3,unknown,own,1,skilled,1,yes,YES,3,1,female,BAD
Missouri,4,1,Good,other,0,0,1,4,male mar/wid,guarantor,1,real estate,2,bank,own,1,unskilled resident,1,none,YES,2,2,male,BAD
Mississippi,1,1,Moderate,education,1,0,2,4,female div/dep/mar,none,4,no known property,1,bank,rent,-1,skilled,1,yes,YES,1,1,female,GOOD
Mississippi,2,1,Good,other,0,0,2,4,male single,none,2,real estate,2,bank,own,2,skilled,1,none,YES,2,1,male,GOOD
North Carolina,2,4,Moderate,other,6,0,2,4,male single,none,4,real estate,2,none,own,2,unknown,2,yes,YES,6,1,male,GOOD
North Carolina,2,2,Good,used car,8,0,2,3,male single,none,2,car,2,unknown,own,1,skilled,1,unknown,YES,7,1,male,GOOD
North Carolina,2,6,Moderate,repairs,6,0,2,4,male single,unknown,2,car,2,none,own,-1,skilled,1,none,NO,6,1,male,BAD
North Carolina,5,2,Good,radio/tv,9,1,3,1,male single,co applicant,2,no known property,2,bank,own,2,skilled,1,yes,NO,9,2,male,BAD
North Carolina,1,1,Good,furniture/equipment,9,0,4,-1,male single,none,-1,no known property,3,none,unknown,1,high qualif/self emp/mgmt,1,yes,NO,6,1,male,GOOD
New Hampshire,2,0,Good,radio/tv,2,0,3,4,male single,none,2,car,1,none,own,1,skilled,1,none,NO,3,1,male,BAD
New Jersey,2,4,Good,furniture/equipment,6,0,1,4,male single,none,1,no known property,1,bank,for free,1,skilled,1,none,NO,6,1,male,BAD
New Jersey,6,6,Good,other,8,0,2,4,male single,none,2,car,2,unknown,own,1,skilled,1,none,NO,9,2,male,GOOD
New Jersey,2,0,Good,new car,5,0,0,2,male single,unknown,4,no known property,3,none,for free,-1,unskilled resident,1,unknown,NO,5,1,male,GOOD
New Jersey,2,1,Moderate,radio/tv,4,0,3,3,male single,none,1,no known property,2,none,own,1,skilled,1,none,NO,4,1,male,BAD
New Jersey,5,2,Moderate,radio/tv,0,0,2,4,male mar/wid,guarantor,2,real estate,1,none,own,1,unskilled resident,1,none,NO,2,2,male,GOOD
New Jersey,2,0,Bad,radio/tv,2,0,3,2,male single,none,1,real estate,3,none,own,3,unskilled resident,2,none,YES,3,1,male,BAD
New Jersey,0,4,Good,radio/tv,3,0,0,4,male single,none,2,car,2,stores,unknown,1,high qualif/self emp/mgmt,2,none,YES,0,0,male,GOOD
New Jersey,4,0,Good,new car,9,0,0,1,male single,none,2,life insurance,1,none,own,1,unemp/unskilled non res,1,yes,NO,9,2,male,BAD
New Mexico,4,4,Good,business,6,0,4,4,unknown,none,2,car,3,bank,rent,-1,unskilled resident,1,none,NO,6,2,unknown,BAD
New Mexico,1,6,Good,other,5,0,4,1,male single,unknown,3,life insurance,2,none,own,1,skilled,2,none,NO,1,1,male,GOOD
Nevada,1,4,Good,new car,0,0,4,4,unknown,none,2,car,2,bank,own,-1,skilled,1,none,NO,0,0,unknown,GOOD
New York,2,0,Good,radio/tv,3,0,3,3,unknown,none,2,no known property,3,none,own,1,skilled,2,none,NO,4,1,unknown,BAD
New York,2,1,Bad,business,1,0,2,3,female div/dep/mar,none,2,no known property,2,none,own,2,skilled,1,none,YES,2,1,female,GOOD
New York,2,1,Good,retraining,7,0,2,4,female div/dep/mar,none,3,real estate,2,none,own,1,unskilled resident,2,none,NO,7,1,female,BAD
New York,2,4,Good,business,1,0,3,4,male single,none,1,real estate,1,none,own,1,skilled,1,yes,NO,3,1,male,BAD
Ohio,2,1,Bad,radio/tv,0,0,4,4,male single,none,4,real estate,3,none,unknown,3,unknown,1,none,YES,2,1,male,BAD
Ohio,2,0,Moderate,new car,1,0,2,-1,male single,none,1,no known property,2,bank,rent,1,skilled,1,none,NO,2,1,male,GOOD
Ohio,6,4,Good,other,3,0,2,2,male single,none,2,real estate,2,none,own,1,skilled,1,none,YES,8,3,male,GOOD
Ohio,2,2,Good,radio/tv,0,0,0,3,female div/dep/mar,co applicant,4,real estate,1,none,rent,1,skilled,1,none,YES,1,1,female,GOOD
Ohio,2,0,Bad,new car,0,1,3,3,female div/dep/mar,none,-1,real estate,2,none,own,2,unskilled resident,1,yes,YES,6,3,female,GOOD
Ohio,6,1,Good,furniture/equipment,4,0,2,1,female div/dep/mar,none,2,car,3,none,own,-1,unskilled resident,1,none,NO,7,2,female,GOOD
Ohio,5,6,Good,new car,4,0,2,4,female div/dep/mar,guarantor,2,no known property,1,bank,own,-1,unknown,1,none,YES,4,2,female,BAD
Ohio,2,4,Moderate,furniture/equipment,7,0,2,2,male single,none,3,life insurance,2,none,own,-1,skilled,1,none,YES,7,1,male,BAD
Ohio,4,0,Good,furniture/equipment,3,0,3,2,male single,unknown,1,car,1,none,unknown,1,skilled,1,yes,NO,4,2,male,GOOD
Ohio,4,2,Moderate,radio/tv,9,0,2,1,male single,none,1,real estate,2,none,own,1,unskilled resident,1,none,YES,9,2,male,BAD
Oregon,2,4,Bad,other,6,0,2,-1,male single,none,2,real estate,2,none,own,2,unskilled resident,1,none,NO,6,1,male,GOOD
Pennsylvania,2,1,Good,radio/tv,4,0,2,4,unknown,none,1,no known property,2,none,for free,1,unknown,1,none,YES,4,1,unknown,BAD
Pennsylvania,2,2,Good,used car,7,0,1,1,female div/dep/mar,unknown,4,car,1,none,own,-1,skilled,1,yes,NO,7,1,female,GOOD
Pennsylvania,2,1,Bad,radio/tv,1,0,0,-1,female div/dep/mar,none,4,real estate,3,unknown,own,3,unskilled resident,1,none,NO,2,1,female,GOOD
Pennsylvania,1,1,Moderate,furniture/equipment,3,0,2,2,male single,none,2,real estate,2,none,own,1,skilled,1,none,YES,0,0,male,GOOD
Rhode Island,2,4,Good,radio/tv,3,0,0,4,unknown,none,-1,car,3,none,own,1,skilled,1,none,YES,1,1,unknown,BAD
South Carolina,2,2,Bad,new car,8,0,4,2,male single,none,4,no known property,2,none,for free,3,high qualif/self emp/mgmt,1,yes,NO,7,1,male,GOOD
South Carolina,2,1,Bad,education,4,0,0,2,female div/dep/mar,none,4,no known property,3,bank,for free,3,unskilled resident,1,none,YES,5,1,female,GOOD
South Carolina,2,1,Bad,new car,1,0,4,3,male single,none,-1,real estate,2,none,own,2,unskilled resident,2,none,NO,2,1,male,BAD
South Carolina,5,2,Good,radio/tv,0,0,0,4,unknown,none,3,no known property,2,none,own,1,skilled,2,none,NO,2,2,unknown,GOOD
South Carolina,2,6,Bad,business,8,0,4,4,unknown,none,4,real estate,2,none,own,2,skilled,1,none,NO,8,1,unknown,GOOD
South Carolina,2,4,Good,radio/tv,2,0,1,4,female div/dep/mar,none,3,car,2,stores,own,1,skilled,1,unknown,YES,3,1,female,GOOD
South Carolina,2,2,Good,new car,9,0,4,1,male div/sep,none,4,life insurance,3,none,own,1,high qualif/self emp/mgmt,1,yes,NO,9,1,male,BAD
South Dakota,2,4,Good,radio/tv,1,0,4,-1,male single,none,2,car,2,none,own,2,skilled,1,none,YES,2,1,male,GOOD
South Dakota,2,2,Good,new car,6,0,0,4,male single,none,-1,life insurance,2,none,unknown,1,skilled,1,none,YES,6,1,male,BAD
South Dakota,2,1,Bad,furniture/equipment,4,0,3,3,female div/dep/mar,none,4,car,2,none,rent,1,skilled,1,yes,NO,5,1,female,BAD
Tennessee,6,7,Good,new car,9,0,0,4,male single,co applicant,4,no known property,2,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,9,2,male,GOOD
Tennessee,6,7,Good,radio/tv,6,0,3,-1,unknown,none,4,real estate,2,none,unknown,-1,skilled,1,none,YES,6,2,unknown,GOOD
Tennessee,1,6,Moderate,repairs,9,0,1,-1,male div/sep,none,-1,no known property,2,none,own,1,unskilled resident,1,yes,NO,8,1,male,GOOD
Tennessee,2,0,Good,radio/tv,4,0,2,-1,unknown,none,2,real estate,2,none,own,1,skilled,2,none,YES,5,1,unknown,GOOD
Texas,2,2,Bad,other,4,0,0,-1,female div/dep/mar,none,2,car,2,none,own,2,skilled,1,none,NO,5,1,female,GOOD
Texas,0,1,Moderate,furniture/equipment,1,0,4,2,male div/sep,unknown,4,life insurance,3,none,own,1,unskilled resident,1,yes,NO,0,0,male,GOOD
Texas,2,0,Good,furniture/equipment,8,0,1,1,female div/dep/mar,unknown,-1,life insurance,2,none,own,1,skilled,1,none,NO,7,1,female,GOOD
Texas,2,4,Moderate,radio/tv,3,0,2,4,unknown,unknown,4,car,2,none,rent,1,high qualif/self emp/mgmt,1,yes,NO,4,1,unknown,BAD
Texas,2,2,Bad,other,4,0,4,3,unknown,none,4,no known property,1,none,rent,2,skilled,1,yes,YES,5,1,unknown,GOOD
Texas,2,1,Good,furniture/equipment,3,0,2,4,male single,none,2,real estate,3,none,own,1,skilled,1,unknown,NO,3,1,male,BAD
Texas,2,2,Good,radio/tv,2,0,3,4,unknown,none,4,car,2,unknown,own,1,unskilled resident,1,none,NO,3,1,unknown,GOOD
Texas,2,2,Bad,other,2,0,4,4,male single,none,4,life insurance,3,none,own,1,skilled,1,none,NO,3,1,male,GOOD
Texas,4,4,Moderate,new car,7,1,1,4,male div/sep,none,2,car,2,unknown,unknown,1,skilled,1,yes,YES,7,2,male,GOOD
Texas,0,2,Good,new car,4,0,1,1,female div/dep/mar,unknown,1,real estate,2,none,own,1,unskilled resident,1,unknown,NO,0,0,female,GOOD
Texas,0,7,Good,used car,4,0,3,4,male single,none,3,life insurance,2,none,own,1,skilled,2,unknown,YES,0,0,male,BAD
Texas,5,7,Moderate,other,4,1,0,2,male single,none,-1,no known property,2,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,6,2,male,GOOD
Texas,6,1,Good,radio/tv,1,0,2,4,female div/dep/mar,unknown,4,real estate,2,none,own,2,skilled,1,unknown,NO,3,2,female,GOOD
Texas,0,4,Moderate,radio/tv,1,0,1,4,male mar/wid,none,4,real estate,3,stores,own,1,skilled,1,none,YES,0,0,male,BAD
Texas,2,1,Good,business,1,0,2,2,unknown,none,2,real estate,2,unknown,own,1,skilled,1,yes,NO,2,1,unknown,BAD
Texas,5,6,Good,used car,9,0,1,1,male mar/wid,none,4,car,2,none,rent,1,high qualif/self emp/mgmt,1,yes,YES,9,2,male,GOOD
Utah,0,4,Bad,used car,8,0,4,2,female div/dep/mar,none,4,no known property,3,none,for free,2,high qualif/self emp/mgmt,2,yes,NO,0,1,female,BAD
Virginia,6,2,Bad,used car,4,0,4,4,male single,none,4,no known property,3,none,for free,1,skilled,1,none,NO,9,3,male,GOOD
Virginia,2,7,Bad,business,9,0,4,4,male div/sep,none,2,car,3,bank,own,2,high qualif/self emp/mgmt,2,none,NO,9,1,male,BAD
Virginia,4,7,Good,furniture/equipment,9,0,1,1,unknown,none,2,car,2,none,own,1,skilled,1,unknown,YES,9,2,unknown,GOOD
Virginia,2,1,Good,used car,8,0,0,1,female div/dep/mar,none,4,car,1,none,rent,1,skilled,1,none,NO,7,1,female,BAD
Virginia,2,1,Good,other,1,0,0,4,male single,co applicant,2,life insurance,3,none,unknown,1,unskilled resident,1,unknown,YES,3,1,male,GOOD
Virginia,2,2,Moderate,furniture/equipment,5,0,2,3,male single,none,4,real estate,3,none,own,-1,skilled,1,yes,YES,6,1,male,BAD
Virginia,3,4,Bad,furniture/equipment,6,1,3,3,male single,none,2,car,2,none,own,2,skilled,1,yes,YES,7,2,male,GOOD
Washington,2,0,Good,new car,0,0,0,1,female div/dep/mar,none,4,real estate,3,none,own,1,unemp/unskilled non res,1,yes,NO,2,1,female,GOOD
Washington,6,6,Moderate,radio/tv,7,0,2,4,female div/dep/mar,none,1,car,3,none,own,1,skilled,1,yes,YES,7,2,female,GOOD
Washington,6,2,Bad,new car,2,0,3,4,male single,none,-1,real estate,2,bank,own,2,unskilled resident,2,none,NO,8,3,male,GOOD
Wisconsin,0,1,Bad,other,1,0,3,4,male single,co applicant,-1,no known property,3,none,unknown,2,skilled,1,yes,YES,0,0,male,BAD
Alaska,2,7,Bad,new car,4,0,2,2,male single,none,2,no known property,3,bank,unknown,1,skilled,1,none,YES,5,1,male,BAD
Arizona,2,0,Moderate,furniture/equipment,2,0,2,4,male div/sep,none,2,real estate,2,none,own,1,skilled,1,none,YES,3,1,male,GOOD
Arizona,2,2,Good,used car,8,0,3,2,female div/dep/mar,none,-1,life insurance,1,stores,rent,1,unskilled resident,1,none,NO,7,1,female,GOOD
Arizona,0,1,Good,radio/tv,0,1,1,4,male mar/wid,none,3,no known property,2,none,own,1,unskilled resident,1,yes,YES,0,0,male,BAD
California,2,0,Moderate,furniture/equipment,1,0,2,3,female div/dep/mar,none,4,real estate,1,none,own,1,skilled,1,none,NO,2,1,female,BAD
California,2,0,Good,new car,0,0,2,4,male mar/wid,none,4,real estate,2,none,rent,-1,unskilled resident,1,none,NO,1,1,male,BAD
California,6,7,Moderate,other,8,0,0,3,unknown,none,4,no known property,2,bank,for free,1,unemp/unskilled non res,1,yes,NO,8,2,unknown,GOOD
California,2,4,Good,furniture/equipment,8,0,2,4,male single,none,1,car,1,stores,unknown,1,skilled,1,none,NO,8,1,male,GOOD
California,6,4,Moderate,furniture/equipment,4,0,0,2,unknown,none,4,car,2,none,own,1,skilled,1,none,YES,6,2,unknown,BAD
California,5,1,Good,other,0,0,3,2,male mar/wid,none,3,car,1,bank,own,1,unskilled resident,1,none,YES,2,2,male,GOOD
California,6,0,Good,new car,2,0,1,1,male single,none,-1,no known property,2,none,own,1,unskilled resident,2,unknown,YES,8,3,male,GOOD
California,0,6,Good,furniture/equipment,6,0,4,4,male single,unknown,4,car,2,bank,own,1,unknown,1,none,NO,0,0,male,GOOD
California,1,1,Good,furniture/equipment,0,0,0,2,male single,guarantor,3,life insurance,2,unknown,own,1,unskilled resident,2,unknown,NO,1,0,male,GOOD
California,5,4,Good,furniture/equipment,4,0,2,1,female div/dep/mar,none,4,life insurance,3,none,own,1,unknown,1,yes,YES,5,2,female,GOOD
California,2,1,Moderate,education,0,0,2,4,male single,none,2,car,2,none,own,2,skilled,1,none,YES,2,1,male,BAD
Colorado,1,2,Moderate,furniture/equipment,7,0,4,1,female div/dep/mar,none,-1,life insurance,2,none,own,2,unskilled resident,1,none,YES,1,1,female,BAD
Colorado,5,6,Bad,other,8,0,0,4,male mar/wid,none,2,car,2,none,unknown,2,high qualif/self emp/mgmt,1,none,YES,7,2,male,GOOD
Connecticut,1,4,Good,radio/tv,3,0,1,4,male div/sep,none,3,life insurance,2,none,unknown,1,skilled,1,none,YES,1,0,male,BAD
District of Columbia,1,4,Good,used car,6,0,3,2,unknown,unknown,1,no known property,2,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,1,1,unknown,GOOD
Georgia,0,2,Moderate,furniture/equipment,6,1,2,4,male single,none,2,car,2,none,unknown,1,skilled,1,none,YES,2,1,male,GOOD
Georgia,2,2,Bad,new car,1,0,2,4,female div/dep/mar,unknown,3,real estate,2,none,own,2,skilled,1,none,NO,2,1,female,BAD
Georgia,1,0,Bad,new car,7,0,3,1,unknown,none,4,real estate,2,none,own,2,unskilled resident,1,none,NO,1,1,unknown,BAD
Georgia,2,1,Bad,furniture/equipment,4,0,4,2,male single,none,4,life insurance,3,none,rent,1,skilled,1,yes,NO,5,1,male,BAD
Georgia,2,4,Good,new car,2,0,3,4,female div/dep/mar,unknown,3,car,2,none,own,1,skilled,2,yes,YES,3,1,female,GOOD
Illinois,6,6,Good,radio/tv,8,0,4,4,male single,none,2,car,2,none,own,1,skilled,1,none,YES,9,2,male,GOOD
Kentucky,5,0,Good,radio/tv,1,0,4,4,male single,none,4,car,2,none,own,1,skilled,2,none,YES,2,2,male,GOOD
Louisiana,0,4,Bad,used car,8,0,0,2,male single,none,4,no known property,4,none,unknown,2,high qualif/self emp/mgmt,1,yes,NO,1,1,male,BAD
Louisiana,2,2,Bad,education,3,0,2,4,unknown,none,2,real estate,2,none,own,2,skilled,1,unknown,YES,4,1,unknown,GOOD
Louisiana,5,7,Good,new car,9,1,1,4,unknown,none,2,no known property,1,none,own,1,high qualif/self emp/mgmt,1,none,NO,9,2,unknown,GOOD
Louisiana,2,7,Bad,used car,9,0,2,2,female div/dep/mar,none,4,car,1,bank,rent,-1,unskilled resident,1,none,YES,9,1,female,GOOD
Maryland,2,0,Bad,furniture/equipment,7,0,2,1,male div/sep,none,4,real estate,3,none,rent,1,high qualif/self emp/mgmt,1,unknown,YES,5,1,male,BAD
Maryland,5,2,Good,radio/tv,3,0,1,2,female div/dep/mar,guarantor,4,life insurance,1,none,own,1,unskilled resident,1,none,YES,5,2,female,GOOD
Michigan,0,2,Good,domestic appliance,4,0,2,4,female div/dep/mar,none,2,car,1,unknown,rent,1,skilled,1,none,NO,0,0,female,BAD
Michigan,1,4,Good,furniture/equipment,7,0,2,4,male single,unknown,-1,life insurance,2,unknown,own,1,skilled,1,none,NO,1,1,male,GOOD
Missouri,5,1,Good,furniture/equipment,4,0,2,4,male div/sep,none,2,car,2,unknown,own,1,unskilled resident,1,none,YES,5,2,male,GOOD
Missouri,6,4,Bad,education,8,0,1,2,female div/dep/mar,none,4,no known property,2,none,for free,2,skilled,1,yes,YES,8,2,female,BAD
Missouri,0,4,Good,furniture/equipment,4,0,3,1,female div/dep/mar,none,4,car,2,none,rent,1,unskilled resident,1,none,NO,0,0,female,GOOD
Mississippi,6,2,Good,radio/tv,6,0,1,1,male mar/wid,none,3,real estate,1,none,rent,1,skilled,1,none,NO,7,2,male,GOOD
Mississippi,5,2,Good,other,8,0,4,1,male single,co applicant,1,real estate,2,bank,own,1,high qualif/self emp/mgmt,1,yes,YES,7,2,male,GOOD
North Carolina,6,1,Good,new car,7,0,1,1,male single,unknown,-1,life insurance,2,none,own,1,unknown,2,none,NO,8,2,male,GOOD
North Carolina,2,2,Bad,radio/tv,2,0,2,4,female div/dep/mar,none,2,car,3,none,own,1,unskilled resident,1,none,YES,3,1,female,GOOD
North Carolina,5,2,Bad,radio/tv,0,0,1,4,male single,unknown,4,real estate,1,none,own,2,skilled,1,none,YES,2,2,male,BAD
New Hampshire,5,4,Good,radio/tv,7,1,0,1,female div/dep/mar,none,-1,no known property,1,none,rent,1,unemp/unskilled non res,1,none,NO,7,2,female,BAD
New Jersey,2,0,Moderate,business,3,0,2,-1,male single,none,2,real estate,2,none,unknown,2,unskilled resident,1,none,YES,4,1,male,GOOD
New Jersey,4,0,Bad,education,1,0,4,4,male single,none,3,no known property,2,none,for free,-1,unknown,2,unknown,NO,2,2,male,GOOD
New Jersey,2,0,Good,domestic appliance,1,0,1,1,female div/dep/mar,none,4,real estate,1,none,rent,1,skilled,1,yes,YES,2,1,female,BAD
New Jersey,4,0,Good,furniture/equipment,4,0,2,1,female div/dep/mar,none,-1,no known property,2,none,own,1,skilled,1,none,YES,5,2,female,BAD
New Jersey,2,2,Bad,used car,6,0,0,2,male single,none,-1,no known property,2,none,unknown,1,high qualif/self emp/mgmt,1,yes,YES,6,1,male,GOOD
New Mexico,1,1,Moderate,radio/tv,4,0,2,4,male single,none,2,no known property,2,none,rent,-1,skilled,1,yes,NO,1,0,male,GOOD
Nevada,2,1,Good,education,0,0,4,4,male single,none,4,no known property,2,none,for free,1,skilled,1,yes,YES,2,1,male,GOOD
Nevada,2,4,Good,new car,1,0,1,4,male single,none,2,real estate,1,stores,own,1,unskilled resident,1,none,YES,3,1,male,GOOD
New York,2,1,Bad,radio/tv,5,0,4,1,male single,unknown,4,real estate,3,none,own,1,skilled,1,yes,NO,5,1,male,GOOD
New York,2,6,Moderate,radio/tv,4,0,2,4,male single,none,2,no known property,2,none,own,2,high qualif/self emp/mgmt,1,yes,NO,5,1,male,GOOD
New York,2,1,Good,radio/tv,0,0,2,4,male mar/wid,none,2,real estate,2,none,unknown,1,skilled,1,none,NO,2,1,male,BAD
New York,1,6,Good,furniture/equipment,5,0,0,4,female div/dep/mar,none,4,real estate,1,none,unknown,1,skilled,1,none,NO,1,0,female,GOOD
New York,5,2,Good,education,1,0,2,4,male single,none,4,no known property,3,unknown,unknown,1,skilled,1,unknown,NO,3,2,male,BAD
New York,2,1,Good,radio/tv,7,0,0,2,male single,none,3,no known property,2,none,own,1,high qualif/self emp/mgmt,1,none,YES,7,1,male,GOOD
Ohio,6,1,Moderate,new car,4,0,2,2,female div/dep/mar,none,2,car,2,stores,own,2,skilled,1,unknown,NO,9,3,female,BAD
Ohio,2,0,Good,furniture/equipment,3,0,2,-1,male mar/wid,unknown,2,life insurance,1,none,rent,-1,skilled,1,none,YES,4,1,male,GOOD
Ohio,1,2,Good,furniture/equipment,5,0,0,4,male single,none,-1,car,1,none,unknown,1,unemp/unskilled non res,1,none,YES,1,1,male,GOOD
Ohio,2,1,Moderate,business,2,0,3,2,male single,none,4,car,2,unknown,own,1,skilled,1,yes,NO,3,1,male,GOOD
Ohio,2,2,Bad,used car,7,0,3,3,male single,none,1,no known property,2,none,own,2,skilled,1,none,YES,7,1,male,GOOD
Ohio,2,2,Good,furniture/equipment,7,0,1,1,female div/dep/mar,none,4,car,2,none,rent,1,skilled,1,none,NO,7,1,female,GOOD
Pennsylvania,2,6,Good,furniture/equipment,7,0,4,4,male single,unknown,2,car,2,none,own,-1,skilled,2,none,YES,4,1,male,GOOD
Pennsylvania,5,2,Good,furniture/equipment,6,0,3,-1,female div/dep/mar,unknown,4,real estate,2,none,rent,1,skilled,1,unknown,NO,6,2,female,BAD
South Carolina,2,6,Good,new car,6,0,2,4,male single,none,4,real estate,2,none,own,1,skilled,1,none,YES,6,1,male,GOOD
South Carolina,2,2,Bad,radio/tv,8,0,4,3,male single,none,4,car,2,none,own,2,skilled,1,yes,NO,8,1,male,BAD
South Carolina,2,1,Bad,furniture/equipment,4,0,1,-1,female div/dep/mar,none,3,real estate,1,unknown,rent,2,skilled,1,none,NO,4,1,female,GOOD
South Carolina,2,7,Bad,new car,9,0,4,2,male single,none,4,no known property,3,bank,for free,1,high qualif/self emp/mgmt,1,yes,YES,9,1,male,GOOD
South Carolina,4,7,Good,other,9,1,4,3,female div/dep/mar,none,-1,no known property,3,bank,for free,-1,high qualif/self emp/mgmt,1,yes,YES,9,2,female,GOOD
Tennessee,2,7,Good,business,9,0,3,2,female div/dep/mar,guarantor,4,car,2,none,rent,1,skilled,1,none,NO,8,1,female,BAD
Tennessee,2,2,Moderate,radio/tv,4,0,0,2,male mar/wid,unknown,3,real estate,2,none,own,-1,skilled,1,unknown,YES,5,1,male,BAD
Texas,2,0,Moderate,other,4,0,0,3,male single,none,4,no known property,2,none,for free,1,skilled,1,none,YES,5,1,male,BAD
Texas,4,6,Good,new car,9,0,4,-1,male single,none,-1,no known property,3,unknown,for free,1,high qualif/self emp/mgmt,1,unknown,YES,9,2,male,BAD
Texas,2,0,Bad,new car,0,0,2,4,female div/dep/mar,none,4,car,2,none,own,2,unskilled resident,1,none,YES,1,1,female,GOOD
Texas,1,3,Good,furniture/equipment,4,0,3,4,male single,none,-1,car,2,none,own,1,skilled,1,yes,NO,1,0,male,GOOD
Texas,4,2,Good,used car,9,0,0,-1,unknown,unknown,4,no known property,2,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,9,2,unknown,BAD
Texas,2,4,Good,other,1,0,3,4,female div/dep/mar,none,4,life insurance,1,none,rent,1,skilled,1,none,YES,3,1,female,BAD
Texas,6,1,Good,new car,2,0,1,4,male single,none,1,real estate,2,none,own,1,skilled,1,none,NO,9,3,male,GOOD
Texas,2,6,Moderate,business,8,0,0,2,male single,unknown,2,life insurance,2,none,own,2,unskilled resident,1,none,NO,7,1,male,GOOD
Virginia,2,2,Bad,radio/tv,4,0,2,2,female div/dep/mar,none,1,car,1,unknown,own,2,unknown,1,none,YES,4,1,female,GOOD
Virginia,2,2,Good,other,1,0,0,4,unknown,none,2,real estate,1,none,rent,1,skilled,1,yes,NO,2,1,unknown,BAD
Virginia,4,2,Bad,furniture/equipment,4,0,0,4,male single,none,4,no known property,2,stores,own,-1,unknown,1,yes,YES,5,2,male,BAD
