location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,year,month,class
Other,California,-5781.67,12.0,existing paid,furniture/equipment,1282.0,59.7,1<=X<4,2,female div/dep/mar,none,4,no known property,20,none,rent,1,skilled,1,none,NO,1994,10,GOOD
Other,California,-2884.07,9.0,critical/other existing credit,repairs,2315.0,100.46,>=7,3,male single,guarantor,4,real estate,48,none,own,2,skilled,2,none,YES,1994,10,BAD
Other,California,-7930.96,12.0,all paid,retraining,339.0,22.56,unknown,4,male mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,NO,1994,10,GOOD
Los Angeles,California,144.52,18.0,existing paid,new car,3512.0,345.1,4<=X<7,2,unknown,none,3,car,38,bank,own,2,skilled,1,yes,NO,1994,10,GOOD
Los Angeles,California,0.0,6.0,critical/other existing credit,radio/tv,1898.0,0.0,1<=X<4,1,male single,none,2,real estate,34,none,own,2,unskilled resident,1,none,NO,1994,10,GOOD
Other,California,0.0,24.0,unknown,radio/tv,2872.0,0.0,>=7,-1,unknown,unknown,-1,real estate,33,none,own,1,skilled,2,unknown,NO,1994,10,GOOD
Los Angeles,California,0.0,18.0,critical/other existing credit,new car,1055.0,0.0,<1,4,female div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,unknown,NO,1994,10,GOOD
Los Angeles,California,0.0,18.0,existing paid,domestic appliance,1262.0,0.0,4<=X<7,4,male single,none,3,life insurance,33,none,own,2,skilled,1,yes,NO,1994,10,GOOD
Los Angeles,California,31.09,10.0,existing paid,new car,7308.0,52.29,unemployed,2,male single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,NO,1994,10,BAD
San Francisco,California,0.0,36.0,existing paid,new car,909.0,0.0,>=7,4,unknown,none,4,life insurance,36,none,own,1,skilled,1,unknown,NO,1994,10,GOOD
Los Angeles,California,0.0,6.0,existing paid,furniture/equipment,2978.0,0.0,1<=X<4,1,male single,none,2,car,32,none,own,1,skilled,1,yes,NO,1994,10,BAD
Other,California,-3326.98,18.0,existing paid,furniture/equipment,1131.0,33.43,unemployed,4,female div/dep/mar,none,-1,car,33,none,own,1,skilled,1,none,NO,1994,10,GOOD
Orange,California,47.93,11.0,existing paid,furniture/equipment,1577.0,7895.35,<1,4,female div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,none,YES,1994,10,BAD
Other,California,0.0,24.0,existing paid,furniture/equipment,3972.0,0.0,4<=X<7,2,unknown,none,4,life insurance,25,none,rent,-1,skilled,1,yes,NO,1994,10,GOOD
Sacramento,California,58.87,24.0,critical/other existing credit,business,1935.0,60.0,>=7,4,male div/sep,none,4,real estate,31,none,unknown,2,skilled,1,yes,YES,1994,10,GOOD
Sacramento,California,-5652.0,15.0,no credits/all paid,new car,950.0,62.41,>=7,4,male single,none,-1,car,33,none,rent,2,skilled,2,none,YES,1994,10,BAD
Other,California,0.0,12.0,existing paid,furniture/equipment,763.0,0.0,1<=X<4,4,female div/dep/mar,none,1,real estate,33,unknown,own,1,skilled,1,yes,YES,1994,10,BAD
Other,California,64.0,24.0,delayed previously,furniture/equipment,2064.0,54.99,unemployed,3,female div/dep/mar,none,-1,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,YES,1994,10,GOOD
Other,California,84.67,8.0,existing paid,radio/tv,1414.0,58.58,1<=X<4,4,male single,guarantor,2,real estate,33,none,own,1,skilled,1,unknown,YES,1994,10,GOOD
San Diego,California,-4199.42,21.0,delayed previously,education,3414.0,56.73,<1,2,male single,none,-1,life insurance,26,none,own,2,skilled,1,none,YES,1994,10,GOOD
San Francisco,California,0.0,30.0,all paid,used car,2315.0,0.0,unknown,4,female div/dep/mar,none,1,real estate,53,bank,own,1,unknown,1,yes,YES,1994,10,BAD
Other,California,-7153.11,12.0,existing paid,furniture/equipment,2577.0,26.63,1<=X<4,2,unknown,none,1,car,33,none,own,1,skilled,1,none,YES,1994,10,GOOD
Other,California,-3587.09,6.0,critical/other existing credit,radio/tv,338.0,840.74,>=7,4,male single,none,4,no known property,52,none,own,2,skilled,1,unknown,YES,1994,11,BAD
Other,California,0.0,12.0,existing paid,radio/tv,1963.0,0.0,4<=X<7,4,male single,unknown,2,no known property,31,none,unknown,2,high qualif/self emp/mgmt,2,yes,YES,1994,11,BAD
Other,Colorado,0.0,21.0,critical/other existing credit,unknown,571.0,0.0,>=7,-1,male single,none,4,real estate,65,none,own,-1,skilled,1,none,YES,1994,11,GOOD
Other,Colorado,0.0,36.0,delayed previously,unknown,9572.0,0.0,<1,1,male div/sep,none,1,car,28,none,own,2,skilled,1,none,NO,1994,11,GOOD
Other,Connecticut,55.91,36.0,delayed previously,unknown,4455.0,21.64,1<=X<4,-1,male div/sep,unknown,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,YES,1994,11,GOOD
Other,District of Columbia,-4718.69,21.0,all paid,unknown,1647.0,0.0,1<=X<4,4,male single,none,2,life insurance,40,none,unknown,2,unskilled resident,2,none,NO,1994,11,BAD
Other,Delaware,0.0,24.0,critical/other existing credit,furniture/equipment,3777.0,0.0,1<=X<4,4,male single,none,4,real estate,50,none,own,1,skilled,1,yes,YES,1994,11,BAD
Other,Georgia,190.69,18.0,critical/other existing credit,new car,884.0,90.53,>=7,4,male single,none,4,car,36,bank,own,1,skilled,2,yes,YES,1994,11,GOOD
Other,Georgia,0.0,15.0,unknown,radio/tv,1360.0,0.0,1<=X<4,4,unknown,none,2,life insurance,31,none,own,2,skilled,1,none,YES,1994,11,BAD
Other,Georgia,0.0,9.0,all paid,unknown,5129.0,0.0,>=7,2,female div/dep/mar,none,-1,no known property,33,bank,for free,1,high qualif/self emp/mgmt,1,yes,NO,1994,11,GOOD
Other,Georgia,18.61,16.0,critical/other existing credit,new car,1175.0,95.88,unemployed,2,male single,unknown,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,NO,1994,11,BAD
Other,Georgia,-8569.38,12.0,existing paid,radio/tv,674.0,319.57,4<=X<7,4,male mar/wid,none,-1,no known property,20,none,own,1,skilled,1,unknown,YES,1994,11,GOOD
Fulton,Georgia,122.36,18.0,no credits/all paid,furniture/equipment,3244.0,86.38,1<=X<4,1,female div/dep/mar,none,-1,car,33,bank,own,2,skilled,1,yes,YES,1994,11,BAD
Fulton,Georgia,0.0,24.0,existing paid,business,4591.0,0.0,1<=X<4,2,male single,none,3,no known property,54,none,own,3,unknown,1,yes,YES,1994,11,BAD
Other,Georgia,5.06,48.0,no credits/all paid,business,3844.0,0.0,4<=X<7,4,male single,none,4,no known property,34,none,unknown,1,unskilled resident,2,none,YES,1994,11,GOOD
Other,Georgia,2.66,27.0,existing paid,business,3915.0,90.63,1<=X<4,4,male single,none,2,no known property,36,none,own,1,skilled,2,yes,YES,1994,11,GOOD
Fulton,Georgia,0.0,6.0,existing paid,radio/tv,2108.0,0.0,4<=X<7,2,male mar/wid,none,2,real estate,29,none,unknown,1,skilled,1,none,YES,1994,11,BAD
Other,Hawaii,0.0,45.0,existing paid,radio/tv,3031.0,0.0,1<=X<4,-1,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,YES,1994,11,BAD
Cook,Illinois,0.0,18.0,critical/other existing credit,education,1501.0,0.0,>=7,2,female div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,YES,1994,11,GOOD
Other,Indiana,0.0,6.0,critical/other existing credit,radio/tv,1382.0,0.0,1<=X<4,1,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,YES,1994,11,BAD
Marion,Indiana,41.55,18.0,existing paid,furniture/equipment,951.0,145.16,<1,4,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,unknown,YES,1994,11,GOOD
Other,Kentucky,73.46,24.0,existing paid,used car,2760.0,0.0,>=7,4,male single,none,4,no known property,36,bank,for free,1,skilled,1,yes,NO,1994,11,BAD
Jefferson,Kentucky,5.45,18.0,delayed previously,unknown,4297.0,38.61,>=7,4,male div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,11,GOOD
Other,Kentucky,0.0,9.0,critical/other existing credit,unknown,936.0,0.0,>=7,-1,male single,none,2,car,33,none,own,2,skilled,1,yes,YES,1994,11,BAD
Other,Louisiana,-1525.5,12.0,existing paid,unknown,1168.0,72.61,1<=X<4,4,male mar/wid,none,3,no known property,27,none,own,1,unskilled resident,1,none,YES,1994,11,BAD
Other,Louisiana,0.0,27.0,delayed previously,business,5117.0,0.0,4<=X<7,3,male single,none,4,car,33,none,own,2,skilled,1,none,YES,1994,11,BAD
Jefferson,Louisiana,-4203.08,12.0,existing paid,retraining,902.0,72.58,4<=X<7,4,male mar/wid,unknown,4,life insurance,21,none,rent,1,skilled,1,none,NO,1994,11,BAD
Orleans,Louisiana,0.0,12.0,critical/other existing credit,new car,1495.0,0.0,>=7,-1,male single,none,1,no known property,38,none,own,-1,unskilled resident,2,none,NO,1994,11,BAD
Other,Massachusetts,-497.79,30.0,critical/other existing credit,unknown,10623.0,10.76,>=7,3,male single,none,4,no known property,38,none,for free,3,unknown,2,yes,NO,1994,11,GOOD
Other,Massachusetts,0.0,12.0,critical/other existing credit,furniture/equipment,1935.0,0.0,>=7,4,male single,none,4,real estate,43,none,unknown,3,unknown,1,yes,NO,1994,11,BAD
Other,Maryland,93.51,12.0,critical/other existing credit,domestic appliance,1424.0,69.55,4<=X<7,-1,male single,none,3,life insurance,26,none,own,1,unknown,1,none,NO,1994,12,BAD
Other,Maryland,-1515.21,24.0,existing paid,business,6568.0,9.01,1<=X<4,2,unknown,none,2,car,21,stores,own,1,unskilled resident,1,none,YES,1994,12,GOOD
Baltimore city,Maryland,0.0,12.0,existing paid,used car,1413.0,0.0,4<=X<7,3,male single,unknown,2,life insurance,55,none,own,-1,skilled,1,unknown,NO,1994,12,GOOD
Other,Michigan,0.0,9.0,critical/other existing credit,radio/tv,3074.0,0.0,unknown,1,unknown,none,2,real estate,33,none,unknown,2,skilled,2,none,NO,1994,12,BAD
Other,Michigan,0.0,36.0,existing paid,radio/tv,3835.0,0.0,>=7,2,female div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,YES,1994,12,BAD
Wayne,Michigan,-2297.6,27.0,no credits/all paid,business,5293.0,25.73,unemployed,2,male single,none,-1,no known property,33,stores,unknown,2,skilled,1,yes,NO,1994,12,GOOD
Wayne,Michigan,7044.86,30.0,delayed previously,business,1908.0,57.07,>=7,4,male single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,12,BAD
Other,Missouri,0.0,36.0,unknown,radio/tv,3342.0,0.0,>=7,4,unknown,none,-1,car,33,none,own,-1,skilled,1,yes,YES,1994,12,GOOD
Other,Missouri,119.36,6.0,critical/other existing credit,unknown,932.0,0.0,unknown,1,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,NO,1994,12,GOOD
Other,Missouri,0.0,18.0,no credits/all paid,business,3104.0,0.0,4<=X<7,-1,male single,none,1,life insurance,33,bank,own,1,skilled,1,yes,NO,1994,12,GOOD
Other,Missouri,8427.47,36.0,existing paid,radio/tv,3913.0,94.68,1<=X<4,2,male single,unknown,-1,real estate,23,none,own,1,skilled,1,yes,NO,1994,12,BAD
Other,Missouri,-5135.08,24.0,existing paid,furniture/equipment,3021.0,0.0,1<=X<4,2,male div/sep,none,2,real estate,24,none,rent,1,unskilled resident,1,none,NO,1994,12,GOOD
Other,Missouri,0.0,10.0,existing paid,new car,1364.0,0.0,1<=X<4,2,female div/dep/mar,none,4,no known property,64,unknown,own,1,skilled,1,yes,YES,1994,12,BAD
Other,Missouri,41.29,12.0,existing paid,unknown,625.0,27.59,<1,4,male mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,YES,1994,12,BAD
Other,Mississippi,-2287.81,12.0,unknown,education,1200.0,0.0,1<=X<4,4,female div/dep/mar,none,4,no known property,23,bank,rent,-1,skilled,1,yes,YES,1994,12,GOOD
Other,Mississippi,0.0,12.0,existing paid,unknown,707.0,0.0,1<=X<4,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,YES,1994,12,GOOD
Other,North Carolina,0.0,24.0,delayed previously,unknown,2978.0,0.0,1<=X<4,4,male single,none,4,real estate,32,none,own,2,unknown,2,yes,YES,1994,12,GOOD
Other,North Carolina,0.0,15.0,existing paid,used car,4657.0,0.0,1<=X<4,3,male single,none,2,car,30,unknown,own,1,skilled,1,unknown,YES,1994,12,GOOD
Other,North Carolina,0.0,36.0,no credits/all paid,repairs,2613.0,0.0,1<=X<4,4,male single,unknown,2,car,27,none,own,-1,skilled,1,none,NO,1994,12,BAD
Other,North Carolina,149.22,18.0,existing paid,radio/tv,10961.0,2648.91,4<=X<7,1,male single,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,NO,1994,12,BAD
Other,North Carolina,-4808.4,12.0,existing paid,furniture/equipment,7865.0,0.0,>=7,-1,male single,none,-1,no known property,53,none,unknown,1,high qualif/self emp/mgmt,1,yes,NO,1994,12,GOOD
Other,New Hampshire,0.0,9.0,existing paid,radio/tv,1478.0,0.0,4<=X<7,4,male single,none,2,car,22,none,own,1,skilled,1,none,NO,1994,12,BAD
Other,New Jersey,0.0,24.0,existing paid,furniture/equipment,3149.0,0.0,<1,4,male single,none,1,no known property,22,bank,for free,1,skilled,1,none,NO,1994,12,BAD
Other,New Jersey,7308.81,36.0,existing paid,unknown,4210.0,7.28,1<=X<4,4,male single,none,2,car,26,unknown,own,1,skilled,1,none,NO,1994,12,GOOD
Other,New Jersey,0.0,9.0,existing paid,new car,2507.0,0.0,unknown,2,male single,unknown,4,no known property,51,none,for free,-1,unskilled resident,1,unknown,NO,1994,12,GOOD
Essex,New Jersey,0.0,12.0,unknown,radio/tv,2141.0,0.0,4<=X<7,3,male single,none,1,no known property,35,none,own,1,skilled,1,none,NO,1994,12,BAD
Essex,New Jersey,154.16,18.0,unknown,radio/tv,866.0,86.28,1<=X<4,4,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,NO,1994,12,GOOD
Other,New Jersey,0.0,4.0,critical/other existing credit,radio/tv,1544.0,0.0,4<=X<7,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,YES,1994,12,BAD
Other,New Jersey,-9256.59,24.0,existing paid,radio/tv,1823.0,53.53,unemployed,4,male single,none,2,car,30,stores,unknown,1,high qualif/self emp/mgmt,2,none,YES,1994,12,GOOD
Essex,New Jersey,69.73,6.0,existing paid,new car,14555.0,0.0,unemployed,1,male single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,NO,1994,12,BAD
Other,New Mexico,57.58,21.0,existing paid,business,2767.0,0.0,>=7,4,unknown,none,2,car,61,bank,rent,-1,unskilled resident,1,none,NO,1994,12,BAD
Other,New Mexico,-4641.13,30.0,existing paid,unknown,2522.0,71.17,>=7,1,male single,unknown,3,life insurance,39,none,own,1,skilled,2,none,NO,1995,1,GOOD
Clark,Nevada,-4772.2,24.0,existing paid,new car,915.0,0.0,>=7,4,unknown,none,2,car,33,bank,own,-1,skilled,1,none,NO,1995,1,GOOD
Other,New York,0.0,6.0,existing paid,radio/tv,1595.0,0.0,4<=X<7,3,unknown,none,2,no known property,51,none,own,1,skilled,2,none,NO,1995,1,BAD
New York,New York,0.0,12.0,critical/other existing credit,business,1185.0,0.0,1<=X<4,3,female div/dep/mar,none,2,no known property,27,none,own,2,skilled,1,none,YES,1995,1,GOOD
Other,New York,0.0,12.0,all paid,retraining,3447.0,0.0,1<=X<4,4,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,NO,1995,1,BAD
Other,New York,0.0,24.0,existing paid,business,1258.0,0.0,4<=X<7,4,male single,none,1,real estate,25,none,own,1,skilled,1,yes,NO,1995,1,BAD
Other,Ohio,0.0,12.0,critical/other existing credit,radio/tv,717.0,0.0,>=7,4,male single,none,4,real estate,52,none,unknown,3,unknown,1,none,YES,1995,1,BAD
Other,Ohio,0.0,6.0,no credits/all paid,new car,1204.0,0.0,1<=X<4,-1,male single,none,1,no known property,35,bank,rent,1,skilled,1,none,NO,1995,1,GOOD
Other,Ohio,4844.17,24.0,existing paid,unknown,1925.0,84.16,1<=X<4,2,male single,none,2,real estate,26,none,own,1,skilled,1,none,YES,1995,1,GOOD
Other,Ohio,0.0,18.0,existing paid,radio/tv,433.0,0.0,unemployed,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,YES,1995,1,GOOD
Other,Ohio,-350.28,6.0,critical/other existing credit,new car,666.0,2438.92,4<=X<7,3,female div/dep/mar,none,-1,real estate,39,none,own,2,unskilled resident,1,yes,YES,1995,1,GOOD
Other,Ohio,2323.65,12.0,existing paid,furniture/equipment,2251.0,9.33,1<=X<4,1,female div/dep/mar,none,2,car,46,none,own,-1,unskilled resident,1,none,NO,1995,1,GOOD
Other,Ohio,84.68,30.0,existing paid,new car,2150.0,47.59,1<=X<4,4,female div/dep/mar,guarantor,2,no known property,24,bank,own,-1,unknown,1,none,YES,1995,1,BAD
Other,Ohio,0.0,24.0,delayed previously,furniture/equipment,4151.0,0.0,1<=X<4,2,male single,none,3,life insurance,35,none,own,-1,skilled,1,none,YES,1995,1,BAD
Other,Ohio,39.8,9.0,existing paid,furniture/equipment,2030.0,0.0,4<=X<7,2,male single,unknown,1,car,24,none,unknown,1,skilled,1,yes,NO,1995,1,GOOD
Other,Ohio,49.03,18.0,delayed previously,radio/tv,7418.0,0.0,1<=X<4,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,YES,1995,1,BAD
Other,Oregon,0.0,24.0,critical/other existing credit,unknown,2684.0,0.0,1<=X<4,-1,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,NO,1995,1,GOOD
Other,Pennsylvania,-255.77,12.0,all paid,radio/tv,2149.0,14.98,1<=X<4,4,unknown,none,1,no known property,29,none,for free,1,unknown,1,none,YES,1995,1,BAD
Other,Pennsylvania,0.0,15.0,existing paid,used car,3812.0,0.0,<1,1,female div/dep/mar,unknown,4,car,23,none,own,-1,skilled,1,yes,NO,1995,1,GOOD
Other,Pennsylvania,0.0,11.0,critical/other existing credit,radio/tv,1154.0,0.0,unemployed,-1,female div/dep/mar,none,4,real estate,57,unknown,own,3,unskilled resident,1,none,NO,1995,1,GOOD
Philadelphia,Pennsylvania,-5536.22,12.0,unknown,furniture/equipment,1657.0,45.58,1<=X<4,2,male single,none,2,real estate,33,none,own,1,skilled,1,none,YES,1995,1,GOOD
Other,Rhode Island,-1579.52,24.0,existing paid,radio/tv,1603.0,74.65,unknown,4,unknown,none,-1,car,55,none,own,1,skilled,1,none,YES,1995,1,BAD
Other,South Carolina,-1502.18,18.0,critical/other existing credit,new car,5302.0,83.75,>=7,2,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,NO,1995,1,GOOD
Other,South Carolina,0.0,12.0,critical/other existing credit,education,2315.0,0.0,unknown,2,female div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,YES,1995,1,GOOD
Other,South Carolina,0.0,10.0,critical/other existing credit,new car,1231.0,0.0,>=7,3,male single,none,-1,real estate,32,none,own,2,unskilled resident,2,none,NO,1995,1,BAD
Other,South Carolina,135.62,15.0,existing paid,radio/tv,802.0,73.76,unknown,4,unknown,none,3,no known property,37,none,own,1,skilled,2,none,NO,1995,1,GOOD
Other,South Carolina,0.0,36.0,critical/other existing credit,business,6304.0,0.0,>=7,4,unknown,none,4,real estate,36,none,own,2,skilled,1,none,NO,1995,1,GOOD
Other,South Carolina,0.0,24.0,existing paid,radio/tv,1533.0,0.0,<1,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,unknown,YES,1995,1,GOOD
Other,South Carolina,-517.47,14.0,existing paid,new car,8978.0,85.21,>=7,1,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1995,2,BAD
Other,South Dakota,0.0,24.0,existing paid,radio/tv,999.0,0.0,>=7,-1,male single,none,2,car,33,none,own,2,skilled,1,none,YES,1995,2,GOOD
Other,South Dakota,0.0,18.0,existing paid,new car,2662.0,0.0,unknown,4,male single,none,-1,life insurance,32,none,unknown,1,skilled,1,none,YES,1995,2,BAD
Other,South Dakota,0.0,12.0,critical/other existing credit,furniture/equipment,2315.0,0.0,4<=X<7,3,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,NO,1995,2,BAD
Other,Tennessee,171.45,48.0,all paid,new car,12169.0,0.0,unemployed,4,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,1995,2,GOOD
Other,Tennessee,187.45,48.0,existing paid,radio/tv,3060.0,67.23,4<=X<7,-1,unknown,none,4,real estate,28,none,unknown,-1,skilled,1,none,YES,1995,2,GOOD
Other,Tennessee,-5525.31,30.0,unknown,repairs,11998.0,38.84,<1,-1,male div/sep,none,-1,no known property,34,none,own,1,unskilled resident,1,yes,NO,1995,2,GOOD
Shelby,Tennessee,0.0,9.0,existing paid,radio/tv,2315.0,0.0,1<=X<4,-1,unknown,none,2,real estate,32,none,own,1,skilled,2,none,YES,1995,2,GOOD
Dallas,Texas,0.0,18.0,critical/other existing credit,unknown,2315.0,0.0,unknown,-1,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,NO,1995,2,GOOD
Other,Texas,-6825.17,12.0,unknown,furniture/equipment,1262.0,0.0,>=7,2,male div/sep,unknown,4,life insurance,49,none,own,1,unskilled resident,1,yes,NO,1995,2,GOOD
Other,Texas,0.0,6.0,existing paid,furniture/equipment,4611.0,0.0,<1,1,female div/dep/mar,unknown,-1,life insurance,32,none,own,1,skilled,1,none,NO,1995,2,GOOD
Other,Texas,0.0,24.0,unknown,radio/tv,1901.0,0.0,1<=X<4,4,unknown,unknown,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,NO,1995,2,BAD
Harris,Texas,0.0,15.0,critical/other existing credit,unknown,2315.0,0.0,>=7,3,unknown,none,4,no known property,23,none,rent,2,skilled,1,yes,YES,1995,2,GOOD
Harris,Texas,0.0,12.0,existing paid,furniture/equipment,1574.0,0.0,1<=X<4,4,male single,none,2,real estate,50,none,own,1,skilled,1,unknown,NO,1995,2,BAD
Other,Texas,0.0,18.0,all paid,radio/tv,1445.0,0.0,4<=X<7,4,unknown,none,4,car,33,unknown,own,1,unskilled resident,1,none,NO,1995,2,GOOD
Jefferson,Texas,0.0,15.0,critical/other existing credit,unknown,1520.0,0.0,>=7,4,male single,none,4,life insurance,63,none,own,1,skilled,1,none,NO,1995,2,GOOD
Jefferson,Texas,19.48,24.0,unknown,new car,3878.0,384.02,<1,4,male div/sep,none,2,car,33,unknown,unknown,1,skilled,1,yes,YES,1995,2,GOOD
Other,Texas,-5888.3,18.0,existing paid,new car,2315.0,58.62,<1,1,female div/dep/mar,unknown,1,real estate,35,none,own,1,unskilled resident,1,unknown,NO,1995,2,GOOD
Other,Texas,-7579.53,48.0,existing paid,used car,2315.0,24.62,4<=X<7,4,male single,none,3,life insurance,26,none,own,1,skilled,2,unknown,YES,1995,2,BAD
Other,Texas,130.14,48.0,delayed previously,other,2315.0,376.5,unemployed,2,male single,none,-1,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,1995,2,GOOD
Other,Texas,169.03,12.0,existing paid,radio/tv,1092.0,26.55,1<=X<4,4,female div/dep/mar,unknown,4,real estate,33,none,own,2,skilled,1,unknown,NO,1995,2,GOOD
Dallas,Texas,-7872.78,24.0,unknown,radio/tv,1024.0,0.0,<1,4,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,YES,1995,2,BAD
Harris,Texas,0.0,12.0,existing paid,business,1076.0,0.0,1<=X<4,2,unknown,none,2,real estate,26,unknown,own,1,skilled,1,yes,NO,1995,2,BAD
Bexar,Texas,155.74,36.0,existing paid,used car,9398.0,93.87,<1,1,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,YES,1995,2,GOOD
Other,Utah,-9594.86,24.0,critical/other existing credit,used car,6419.0,16.26,>=7,2,female div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,NO,1995,2,BAD
Other,Virginia,7720.46,18.0,critical/other existing credit,used car,2315.0,40.81,>=7,4,male single,none,4,no known property,56,none,for free,1,skilled,1,none,NO,1995,2,GOOD
Other,Virginia,0.0,48.0,critical/other existing credit,business,7629.0,0.0,>=7,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,NO,1995,2,BAD
Other,Virginia,61.96,48.0,existing paid,furniture/equipment,9960.0,64.33,<1,1,unknown,none,2,car,26,none,own,1,skilled,1,unknown,YES,1995,2,GOOD
Other,Virginia,0.0,12.0,existing paid,used car,4675.0,0.0,unknown,1,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,NO,1995,3,BAD
Norfolk,Virginia,0.0,10.0,existing paid,unknown,1287.0,0.0,unknown,4,male single,co applicant,2,life insurance,45,none,unknown,1,unskilled resident,1,unknown,YES,1995,3,GOOD
Other,Virginia,0.0,18.0,unknown,furniture/equipment,2515.0,0.0,1<=X<4,3,male single,none,4,real estate,43,none,own,-1,skilled,1,yes,YES,1995,3,BAD
Other,Virginia,0.31,21.0,critical/other existing credit,furniture/equipment,2745.0,1787.08,4<=X<7,3,male single,none,2,car,32,none,own,2,skilled,1,yes,YES,1995,3,GOOD
Other,Washington,0.0,6.0,existing paid,new car,672.0,0.0,unemployed,1,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,NO,1995,3,GOOD
Other,Washington,192.02,36.0,unknown,radio/tv,3804.0,0.0,1<=X<4,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,YES,1995,3,GOOD
Other,Washington,5659.69,18.0,critical/other existing credit,new car,1344.0,0.0,4<=X<7,4,male single,none,-1,real estate,37,bank,own,2,unskilled resident,2,none,NO,1995,3,GOOD
Other,Wisconsin,-8464.44,10.0,critical/other existing credit,unknown,1038.0,38.82,4<=X<7,4,male single,co applicant,-1,no known property,49,none,unknown,2,skilled,1,yes,YES,1995,3,BAD
Other,Alaska,0.0,48.0,critical/other existing credit,new car,2315.0,0.0,1<=X<4,2,male single,none,2,no known property,44,bank,unknown,1,skilled,1,none,YES,1995,3,BAD
Maricopa,Arizona,0.0,6.0,unknown,furniture/equipment,1543.0,0.0,1<=X<4,4,male div/sep,none,2,real estate,33,none,own,1,skilled,1,none,YES,1995,3,GOOD
Maricopa,Arizona,0.0,18.0,existing paid,used car,4811.0,0.0,4<=X<7,2,female div/dep/mar,none,-1,life insurance,24,stores,rent,1,unskilled resident,1,none,NO,1995,3,GOOD
Other,Arizona,-8135.03,12.0,existing paid,radio/tv,727.0,473.67,<1,4,male mar/wid,none,3,no known property,33,none,own,1,unskilled resident,1,yes,YES,1995,3,BAD
Alameda,California,0.0,8.0,unknown,furniture/equipment,1237.0,0.0,1<=X<4,3,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,NO,1995,3,BAD
Other,California,0.0,9.0,existing paid,new car,276.0,0.0,1<=X<4,4,male mar/wid,none,4,real estate,33,none,rent,-1,unskilled resident,1,none,NO,1995,3,BAD
Los Angeles,California,192.16,48.0,unknown,other,5381.0,0.0,unemployed,3,unknown,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,NO,1995,3,GOOD
Los Angeles,California,0.0,24.0,existing paid,furniture/equipment,5511.0,0.0,1<=X<4,4,male single,none,1,car,25,stores,unknown,1,skilled,1,none,NO,1995,3,GOOD
