location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,year,month,class
Maricopa,Arizona,5,6.0,existing paid,unknown,1346.0,"(-0.001, 7.154]",3,2,male single,unknown,4,no known property,42,bank,unknown,1,skilled,2,yes,NO,1994,10,GOOD
Other,Arizona,5,18.0,existing paid,radio/tv,1924.0,"(-0.001, 7.154]",0,1,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,NO,1994,10,BAD
Alameda,California,5,36.0,existing paid,radio/tv,5848.0,"(-0.001, 7.154]",0,4,male single,none,1,car,24,none,own,1,skilled,1,unknown,NO,1994,10,BAD
Other,California,5,24.0,critical/other existing credit,used car,7758.0,"(98.282, 9298.08]",3,2,female div/dep/mar,unknown,4,no known property,29,none,rent,1,skilled,1,none,YES,1994,10,BAD
Other,California,5,24.0,delayed previously,business,6967.0,"(98.282, 9298.08]",1,4,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,unknown,YES,1994,10,BAD
Other,California,2,12.0,existing paid,furniture/equipment,1282.0,"(34.309, 65.862]",0,2,female div/dep/mar,none,4,no known property,20,none,rent,1,skilled,1,none,NO,1994,10,GOOD
Other,California,3,9.0,critical/other existing credit,repairs,2315.0,"(98.282, 9298.08]",3,3,male single,guarantor,4,real estate,48,none,own,2,skilled,2,none,YES,1994,10,BAD
Other,California,1,12.0,all paid,retraining,339.0,"(7.154, 34.309]",5,4,male mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,NO,1994,10,GOOD
Los Angeles,California,5,18.0,existing paid,new car,3512.0,"(98.282, 9298.08]",1,2,unknown,none,3,car,38,bank,own,2,skilled,1,yes,NO,1994,10,GOOD
Los Angeles,California,5,6.0,critical/other existing credit,radio/tv,1898.0,"(-0.001, 7.154]",0,1,male single,none,2,real estate,34,none,own,2,unskilled resident,1,none,NO,1994,10,GOOD
Other,California,5,24.0,unknown,radio/tv,2872.0,"(-0.001, 7.154]",3,-1,unknown,unknown,-1,real estate,33,none,own,1,skilled,2,unknown,NO,1994,10,GOOD
Los Angeles,California,5,18.0,critical/other existing credit,new car,1055.0,"(-0.001, 7.154]",2,4,female div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,unknown,NO,1994,10,GOOD
Los Angeles,California,5,18.0,existing paid,domestic appliance,1262.0,"(-0.001, 7.154]",1,4,male single,none,3,life insurance,33,none,own,2,skilled,1,yes,NO,1994,10,GOOD
Los Angeles,California,5,10.0,existing paid,new car,7308.0,"(34.309, 65.862]",4,2,male single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,NO,1994,10,BAD
San Francisco,California,5,36.0,existing paid,new car,909.0,"(-0.001, 7.154]",3,4,unknown,none,4,life insurance,36,none,own,1,skilled,1,unknown,NO,1994,10,GOOD
Los Angeles,California,5,6.0,existing paid,furniture/equipment,2978.0,"(-0.001, 7.154]",0,1,male single,none,2,car,32,none,own,1,skilled,1,yes,NO,1994,10,BAD
Other,California,3,18.0,existing paid,furniture/equipment,1131.0,"(7.154, 34.309]",4,4,female div/dep/mar,none,-1,car,33,none,own,1,skilled,1,none,NO,1994,10,GOOD
Orange,California,5,11.0,existing paid,furniture/equipment,1577.0,"(98.282, 9298.08]",2,4,female div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,none,YES,1994,10,BAD
Other,California,5,24.0,existing paid,furniture/equipment,3972.0,"(-0.001, 7.154]",1,2,unknown,none,4,life insurance,25,none,rent,-1,skilled,1,yes,NO,1994,10,GOOD
Sacramento,California,5,24.0,critical/other existing credit,business,1935.0,"(34.309, 65.862]",3,4,male div/sep,none,4,real estate,31,none,unknown,2,skilled,1,yes,YES,1994,10,GOOD
Sacramento,California,2,15.0,no credits/all paid,new car,950.0,"(34.309, 65.862]",3,4,male single,none,-1,car,33,none,rent,2,skilled,2,none,YES,1994,10,BAD
Other,California,5,12.0,existing paid,furniture/equipment,763.0,"(-0.001, 7.154]",0,4,female div/dep/mar,none,1,real estate,33,unknown,own,1,skilled,1,yes,YES,1994,10,BAD
Other,California,5,24.0,delayed previously,furniture/equipment,2064.0,"(34.309, 65.862]",4,3,female div/dep/mar,none,-1,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,YES,1994,10,GOOD
Other,California,5,8.0,existing paid,radio/tv,1414.0,"(34.309, 65.862]",0,4,male single,guarantor,2,real estate,33,none,own,1,skilled,1,unknown,YES,1994,10,GOOD
San Diego,California,2,21.0,delayed previously,education,3414.0,"(34.309, 65.862]",2,2,male single,none,-1,life insurance,26,none,own,2,skilled,1,none,YES,1994,10,GOOD
San Francisco,California,5,30.0,all paid,used car,2315.0,"(-0.001, 7.154]",5,4,female div/dep/mar,none,1,real estate,53,bank,own,1,unknown,1,yes,YES,1994,10,BAD
Other,California,1,12.0,existing paid,furniture/equipment,2577.0,"(7.154, 34.309]",0,2,unknown,none,1,car,33,none,own,1,skilled,1,none,YES,1994,10,GOOD
Other,California,3,6.0,critical/other existing credit,radio/tv,338.0,"(98.282, 9298.08]",3,4,male single,none,4,no known property,52,none,own,2,skilled,1,unknown,YES,1994,11,BAD
Other,California,5,12.0,existing paid,radio/tv,1963.0,"(-0.001, 7.154]",1,4,male single,unknown,2,no known property,31,none,unknown,2,high qualif/self emp/mgmt,2,yes,YES,1994,11,BAD
Other,Colorado,5,21.0,critical/other existing credit,unknown,571.0,"(-0.001, 7.154]",3,-1,male single,none,4,real estate,65,none,own,-1,skilled,1,none,YES,1994,11,GOOD
Other,Colorado,5,36.0,delayed previously,unknown,9572.0,"(-0.001, 7.154]",2,1,male div/sep,none,1,car,28,none,own,2,skilled,1,none,NO,1994,11,GOOD
Other,Connecticut,5,36.0,delayed previously,unknown,4455.0,"(7.154, 34.309]",0,-1,male div/sep,unknown,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,YES,1994,11,GOOD
Other,District of Columbia,2,21.0,all paid,unknown,1647.0,"(-0.001, 7.154]",0,4,male single,none,2,life insurance,40,none,unknown,2,unskilled resident,2,none,NO,1994,11,BAD
Other,Delaware,5,24.0,critical/other existing credit,furniture/equipment,3777.0,"(-0.001, 7.154]",0,4,male single,none,4,real estate,50,none,own,1,skilled,1,yes,YES,1994,11,BAD
Other,Georgia,5,18.0,critical/other existing credit,new car,884.0,"(65.862, 98.282]",3,4,male single,none,4,car,36,bank,own,1,skilled,2,yes,YES,1994,11,GOOD
Other,Georgia,5,15.0,unknown,radio/tv,1360.0,"(-0.001, 7.154]",0,4,unknown,none,2,life insurance,31,none,own,2,skilled,1,none,YES,1994,11,BAD
Other,Georgia,5,9.0,all paid,unknown,5129.0,"(-0.001, 7.154]",3,2,female div/dep/mar,none,-1,no known property,33,bank,for free,1,high qualif/self emp/mgmt,1,yes,NO,1994,11,GOOD
Other,Georgia,5,16.0,critical/other existing credit,new car,1175.0,"(65.862, 98.282]",4,2,male single,unknown,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,NO,1994,11,BAD
Other,Georgia,0,12.0,existing paid,radio/tv,674.0,"(98.282, 9298.08]",1,4,male mar/wid,none,-1,no known property,20,none,own,1,skilled,1,unknown,YES,1994,11,GOOD
Fulton,Georgia,5,18.0,no credits/all paid,furniture/equipment,3244.0,"(65.862, 98.282]",0,1,female div/dep/mar,none,-1,car,33,bank,own,2,skilled,1,yes,YES,1994,11,BAD
Fulton,Georgia,5,24.0,existing paid,business,4591.0,"(-0.001, 7.154]",0,2,male single,none,3,no known property,54,none,own,3,unknown,1,yes,YES,1994,11,BAD
Other,Georgia,5,48.0,no credits/all paid,business,3844.0,"(-0.001, 7.154]",1,4,male single,none,4,no known property,34,none,unknown,1,unskilled resident,2,none,YES,1994,11,GOOD
Other,Georgia,5,27.0,existing paid,business,3915.0,"(65.862, 98.282]",0,4,male single,none,2,no known property,36,none,own,1,skilled,2,yes,YES,1994,11,GOOD
Fulton,Georgia,5,6.0,existing paid,radio/tv,2108.0,"(-0.001, 7.154]",1,2,male mar/wid,none,2,real estate,29,none,unknown,1,skilled,1,none,YES,1994,11,BAD
Other,Hawaii,5,45.0,existing paid,radio/tv,3031.0,"(-0.001, 7.154]",0,-1,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,YES,1994,11,BAD
Cook,Illinois,5,18.0,critical/other existing credit,education,1501.0,"(-0.001, 7.154]",3,2,female div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,YES,1994,11,GOOD
Other,Indiana,5,6.0,critical/other existing credit,radio/tv,1382.0,"(-0.001, 7.154]",0,1,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,YES,1994,11,BAD
Marion,Indiana,5,18.0,existing paid,furniture/equipment,951.0,"(98.282, 9298.08]",2,4,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,unknown,YES,1994,11,GOOD
Other,Kentucky,5,24.0,existing paid,used car,2760.0,"(-0.001, 7.154]",3,4,male single,none,4,no known property,36,bank,for free,1,skilled,1,yes,NO,1994,11,BAD
Jefferson,Kentucky,5,18.0,delayed previously,unknown,4297.0,"(34.309, 65.862]",3,4,male div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,11,GOOD
Other,Kentucky,5,9.0,critical/other existing credit,unknown,936.0,"(-0.001, 7.154]",3,-1,male single,none,2,car,33,none,own,2,skilled,1,yes,YES,1994,11,BAD
Other,Louisiana,4,12.0,existing paid,unknown,1168.0,"(65.862, 98.282]",0,4,male mar/wid,none,3,no known property,27,none,own,1,unskilled resident,1,none,YES,1994,11,BAD
Other,Louisiana,5,27.0,delayed previously,business,5117.0,"(-0.001, 7.154]",1,3,male single,none,4,car,33,none,own,2,skilled,1,none,YES,1994,11,BAD
Jefferson,Louisiana,2,12.0,existing paid,retraining,902.0,"(65.862, 98.282]",1,4,male mar/wid,unknown,4,life insurance,21,none,rent,1,skilled,1,none,NO,1994,11,BAD
Orleans,Louisiana,5,12.0,critical/other existing credit,new car,1495.0,"(-0.001, 7.154]",3,-1,male single,none,1,no known property,38,none,own,-1,unskilled resident,2,none,NO,1994,11,BAD
Other,Massachusetts,4,30.0,critical/other existing credit,unknown,10623.0,"(7.154, 34.309]",3,3,male single,none,4,no known property,38,none,for free,3,unknown,2,yes,NO,1994,11,GOOD
Other,Massachusetts,5,12.0,critical/other existing credit,furniture/equipment,1935.0,"(-0.001, 7.154]",3,4,male single,none,4,real estate,43,none,unknown,3,unknown,1,yes,NO,1994,11,BAD
Other,Maryland,5,12.0,critical/other existing credit,domestic appliance,1424.0,"(65.862, 98.282]",1,-1,male single,none,3,life insurance,26,none,own,1,unknown,1,none,NO,1994,12,BAD
Other,Maryland,4,24.0,existing paid,business,6568.0,"(7.154, 34.309]",0,2,unknown,none,2,car,21,stores,own,1,unskilled resident,1,none,YES,1994,12,GOOD
Baltimore city,Maryland,5,12.0,existing paid,used car,1413.0,"(-0.001, 7.154]",1,3,male single,unknown,2,life insurance,55,none,own,-1,skilled,1,unknown,NO,1994,12,GOOD
Other,Michigan,5,9.0,critical/other existing credit,radio/tv,3074.0,"(-0.001, 7.154]",5,1,unknown,none,2,real estate,33,none,unknown,2,skilled,2,none,NO,1994,12,BAD
Other,Michigan,5,36.0,existing paid,radio/tv,3835.0,"(-0.001, 7.154]",3,2,female div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,YES,1994,12,BAD
Wayne,Michigan,3,27.0,no credits/all paid,business,5293.0,"(7.154, 34.309]",4,2,male single,none,-1,no known property,33,stores,unknown,2,skilled,1,yes,NO,1994,12,GOOD
Wayne,Michigan,8,30.0,delayed previously,business,1908.0,"(34.309, 65.862]",3,4,male single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,12,BAD
Other,Missouri,5,36.0,unknown,radio/tv,3342.0,"(-0.001, 7.154]",3,4,unknown,none,-1,car,33,none,own,-1,skilled,1,yes,YES,1994,12,GOOD
Other,Missouri,5,6.0,critical/other existing credit,unknown,932.0,"(-0.001, 7.154]",5,1,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,NO,1994,12,GOOD
Other,Missouri,5,18.0,no credits/all paid,business,3104.0,"(-0.001, 7.154]",1,-1,male single,none,1,life insurance,33,bank,own,1,skilled,1,yes,NO,1994,12,GOOD
Other,Missouri,9,36.0,existing paid,radio/tv,3913.0,"(65.862, 98.282]",0,2,male single,unknown,-1,real estate,23,none,own,1,skilled,1,yes,NO,1994,12,BAD
Other,Missouri,2,24.0,existing paid,furniture/equipment,3021.0,"(-0.001, 7.154]",0,2,male div/sep,none,2,real estate,24,none,rent,1,unskilled resident,1,none,NO,1994,12,GOOD
Other,Missouri,5,10.0,existing paid,new car,1364.0,"(-0.001, 7.154]",0,2,female div/dep/mar,none,4,no known property,64,unknown,own,1,skilled,1,yes,YES,1994,12,BAD
Other,Missouri,5,12.0,existing paid,unknown,625.0,"(7.154, 34.309]",2,4,male mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,YES,1994,12,BAD
Other,Mississippi,3,12.0,unknown,education,1200.0,"(-0.001, 7.154]",0,4,female div/dep/mar,none,4,no known property,23,bank,rent,-1,skilled,1,yes,YES,1994,12,GOOD
Other,Mississippi,5,12.0,existing paid,unknown,707.0,"(-0.001, 7.154]",0,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,YES,1994,12,GOOD
Other,North Carolina,5,24.0,delayed previously,unknown,2978.0,"(-0.001, 7.154]",0,4,male single,none,4,real estate,32,none,own,2,unknown,2,yes,YES,1994,12,GOOD
Other,North Carolina,5,15.0,existing paid,used car,4657.0,"(-0.001, 7.154]",0,3,male single,none,2,car,30,unknown,own,1,skilled,1,unknown,YES,1994,12,GOOD
Other,North Carolina,5,36.0,no credits/all paid,repairs,2613.0,"(-0.001, 7.154]",0,4,male single,unknown,2,car,27,none,own,-1,skilled,1,none,NO,1994,12,BAD
Other,North Carolina,5,18.0,existing paid,radio/tv,10961.0,"(98.282, 9298.08]",1,1,male single,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,NO,1994,12,BAD
Other,North Carolina,2,12.0,existing paid,furniture/equipment,7865.0,"(-0.001, 7.154]",3,-1,male single,none,-1,no known property,53,none,unknown,1,high qualif/self emp/mgmt,1,yes,NO,1994,12,GOOD
Other,New Hampshire,5,9.0,existing paid,radio/tv,1478.0,"(-0.001, 7.154]",1,4,male single,none,2,car,22,none,own,1,skilled,1,none,NO,1994,12,BAD
Other,New Jersey,5,24.0,existing paid,furniture/equipment,3149.0,"(-0.001, 7.154]",2,4,male single,none,1,no known property,22,bank,for free,1,skilled,1,none,NO,1994,12,BAD
Other,New Jersey,8,36.0,existing paid,unknown,4210.0,"(7.154, 34.309]",0,4,male single,none,2,car,26,unknown,own,1,skilled,1,none,NO,1994,12,GOOD
Other,New Jersey,5,9.0,existing paid,new car,2507.0,"(-0.001, 7.154]",5,2,male single,unknown,4,no known property,51,none,for free,-1,unskilled resident,1,unknown,NO,1994,12,GOOD
Essex,New Jersey,5,12.0,unknown,radio/tv,2141.0,"(-0.001, 7.154]",1,3,male single,none,1,no known property,35,none,own,1,skilled,1,none,NO,1994,12,BAD
Essex,New Jersey,5,18.0,unknown,radio/tv,866.0,"(65.862, 98.282]",0,4,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,NO,1994,12,GOOD
Other,New Jersey,5,4.0,critical/other existing credit,radio/tv,1544.0,"(-0.001, 7.154]",1,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,YES,1994,12,BAD
Other,New Jersey,0,24.0,existing paid,radio/tv,1823.0,"(34.309, 65.862]",4,4,male single,none,2,car,30,stores,unknown,1,high qualif/self emp/mgmt,2,none,YES,1994,12,GOOD
Essex,New Jersey,5,6.0,existing paid,new car,14555.0,"(-0.001, 7.154]",4,1,male single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,NO,1994,12,BAD
Other,New Mexico,5,21.0,existing paid,business,2767.0,"(-0.001, 7.154]",3,4,unknown,none,2,car,61,bank,rent,-1,unskilled resident,1,none,NO,1994,12,BAD
Other,New Mexico,2,30.0,existing paid,unknown,2522.0,"(65.862, 98.282]",3,1,male single,unknown,3,life insurance,39,none,own,1,skilled,2,none,NO,1995,1,GOOD
Clark,Nevada,2,24.0,existing paid,new car,915.0,"(-0.001, 7.154]",3,4,unknown,none,2,car,33,bank,own,-1,skilled,1,none,NO,1995,1,GOOD
Other,New York,5,6.0,existing paid,radio/tv,1595.0,"(-0.001, 7.154]",1,3,unknown,none,2,no known property,51,none,own,1,skilled,2,none,NO,1995,1,BAD
New York,New York,5,12.0,critical/other existing credit,business,1185.0,"(-0.001, 7.154]",0,3,female div/dep/mar,none,2,no known property,27,none,own,2,skilled,1,none,YES,1995,1,GOOD
Other,New York,5,12.0,all paid,retraining,3447.0,"(-0.001, 7.154]",0,4,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,NO,1995,1,BAD
Other,New York,5,24.0,existing paid,business,1258.0,"(-0.001, 7.154]",1,4,male single,none,1,real estate,25,none,own,1,skilled,1,yes,NO,1995,1,BAD
Other,Ohio,5,12.0,critical/other existing credit,radio/tv,717.0,"(-0.001, 7.154]",3,4,male single,none,4,real estate,52,none,unknown,3,unknown,1,none,YES,1995,1,BAD
Other,Ohio,5,6.0,no credits/all paid,new car,1204.0,"(-0.001, 7.154]",0,-1,male single,none,1,no known property,35,bank,rent,1,skilled,1,none,NO,1995,1,GOOD
Other,Ohio,7,24.0,existing paid,unknown,1925.0,"(65.862, 98.282]",0,2,male single,none,2,real estate,26,none,own,1,skilled,1,none,YES,1995,1,GOOD
Other,Ohio,5,18.0,existing paid,radio/tv,433.0,"(-0.001, 7.154]",4,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,YES,1995,1,GOOD
Other,Ohio,4,6.0,critical/other existing credit,new car,666.0,"(98.282, 9298.08]",1,3,female div/dep/mar,none,-1,real estate,39,none,own,2,unskilled resident,1,yes,YES,1995,1,GOOD
Other,Ohio,6,12.0,existing paid,furniture/equipment,2251.0,"(7.154, 34.309]",0,1,female div/dep/mar,none,2,car,46,none,own,-1,unskilled resident,1,none,NO,1995,1,GOOD
Other,Ohio,5,30.0,existing paid,new car,2150.0,"(34.309, 65.862]",0,4,female div/dep/mar,guarantor,2,no known property,24,bank,own,-1,unknown,1,none,YES,1995,1,BAD
Other,Ohio,5,24.0,delayed previously,furniture/equipment,4151.0,"(-0.001, 7.154]",0,2,male single,none,3,life insurance,35,none,own,-1,skilled,1,none,YES,1995,1,BAD
Other,Ohio,5,9.0,existing paid,furniture/equipment,2030.0,"(-0.001, 7.154]",1,2,male single,unknown,1,car,24,none,unknown,1,skilled,1,yes,NO,1995,1,GOOD
Other,Ohio,5,18.0,delayed previously,radio/tv,7418.0,"(-0.001, 7.154]",0,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,YES,1995,1,BAD
Other,Oregon,5,24.0,critical/other existing credit,unknown,2684.0,"(-0.001, 7.154]",0,-1,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,NO,1995,1,GOOD
Other,Pennsylvania,4,12.0,all paid,radio/tv,2149.0,"(7.154, 34.309]",0,4,unknown,none,1,no known property,29,none,for free,1,unknown,1,none,YES,1995,1,BAD
Other,Pennsylvania,5,15.0,existing paid,used car,3812.0,"(-0.001, 7.154]",2,1,female div/dep/mar,unknown,4,car,23,none,own,-1,skilled,1,yes,NO,1995,1,GOOD
Other,Pennsylvania,5,11.0,critical/other existing credit,radio/tv,1154.0,"(-0.001, 7.154]",4,-1,female div/dep/mar,none,4,real estate,57,unknown,own,3,unskilled resident,1,none,NO,1995,1,GOOD
Philadelphia,Pennsylvania,2,12.0,unknown,furniture/equipment,1657.0,"(34.309, 65.862]",0,2,male single,none,2,real estate,33,none,own,1,skilled,1,none,YES,1995,1,GOOD
Other,Rhode Island,4,24.0,existing paid,radio/tv,1603.0,"(65.862, 98.282]",5,4,unknown,none,-1,car,55,none,own,1,skilled,1,none,YES,1995,1,BAD
Other,South Carolina,4,18.0,critical/other existing credit,new car,5302.0,"(65.862, 98.282]",3,2,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,NO,1995,1,GOOD
Other,South Carolina,5,12.0,critical/other existing credit,education,2315.0,"(-0.001, 7.154]",5,2,female div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,YES,1995,1,GOOD
Other,South Carolina,5,10.0,critical/other existing credit,new car,1231.0,"(-0.001, 7.154]",3,3,male single,none,-1,real estate,32,none,own,2,unskilled resident,2,none,NO,1995,1,BAD
Other,South Carolina,5,15.0,existing paid,radio/tv,802.0,"(65.862, 98.282]",5,4,unknown,none,3,no known property,37,none,own,1,skilled,2,none,NO,1995,1,GOOD
Other,South Carolina,5,36.0,critical/other existing credit,business,6304.0,"(-0.001, 7.154]",3,4,unknown,none,4,real estate,36,none,own,2,skilled,1,none,NO,1995,1,GOOD
Other,South Carolina,5,24.0,existing paid,radio/tv,1533.0,"(-0.001, 7.154]",2,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,unknown,YES,1995,1,GOOD
Other,South Carolina,4,14.0,existing paid,new car,8978.0,"(65.862, 98.282]",3,1,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1995,2,BAD
Other,South Dakota,5,24.0,existing paid,radio/tv,999.0,"(-0.001, 7.154]",3,-1,male single,none,2,car,33,none,own,2,skilled,1,none,YES,1995,2,GOOD
Other,South Dakota,5,18.0,existing paid,new car,2662.0,"(-0.001, 7.154]",5,4,male single,none,-1,life insurance,32,none,unknown,1,skilled,1,none,YES,1995,2,BAD
Other,South Dakota,5,12.0,critical/other existing credit,furniture/equipment,2315.0,"(-0.001, 7.154]",1,3,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,NO,1995,2,BAD
Other,Tennessee,5,48.0,all paid,new car,12169.0,"(-0.001, 7.154]",4,4,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,1995,2,GOOD
Other,Tennessee,5,48.0,existing paid,radio/tv,3060.0,"(65.862, 98.282]",1,-1,unknown,none,4,real estate,28,none,unknown,-1,skilled,1,none,YES,1995,2,GOOD
Other,Tennessee,2,30.0,unknown,repairs,11998.0,"(34.309, 65.862]",2,-1,male div/sep,none,-1,no known property,34,none,own,1,unskilled resident,1,yes,NO,1995,2,GOOD
Shelby,Tennessee,5,9.0,existing paid,radio/tv,2315.0,"(-0.001, 7.154]",0,-1,unknown,none,2,real estate,32,none,own,1,skilled,2,none,YES,1995,2,GOOD
Dallas,Texas,5,18.0,critical/other existing credit,unknown,2315.0,"(-0.001, 7.154]",5,-1,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,NO,1995,2,GOOD
Other,Texas,1,12.0,unknown,furniture/equipment,1262.0,"(-0.001, 7.154]",3,2,male div/sep,unknown,4,life insurance,49,none,own,1,unskilled resident,1,yes,NO,1995,2,GOOD
Other,Texas,5,6.0,existing paid,furniture/equipment,4611.0,"(-0.001, 7.154]",2,1,female div/dep/mar,unknown,-1,life insurance,32,none,own,1,skilled,1,none,NO,1995,2,GOOD
Other,Texas,5,24.0,unknown,radio/tv,1901.0,"(-0.001, 7.154]",0,4,unknown,unknown,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,NO,1995,2,BAD
Harris,Texas,5,15.0,critical/other existing credit,unknown,2315.0,"(-0.001, 7.154]",3,3,unknown,none,4,no known property,23,none,rent,2,skilled,1,yes,YES,1995,2,GOOD
Harris,Texas,5,12.0,existing paid,furniture/equipment,1574.0,"(-0.001, 7.154]",0,4,male single,none,2,real estate,50,none,own,1,skilled,1,unknown,NO,1995,2,BAD
Other,Texas,5,18.0,all paid,radio/tv,1445.0,"(-0.001, 7.154]",1,4,unknown,none,4,car,33,unknown,own,1,unskilled resident,1,none,NO,1995,2,GOOD
Jefferson,Texas,5,15.0,critical/other existing credit,unknown,1520.0,"(-0.001, 7.154]",3,4,male single,none,4,life insurance,63,none,own,1,skilled,1,none,NO,1995,2,GOOD
Jefferson,Texas,5,24.0,unknown,new car,3878.0,"(98.282, 9298.08]",2,4,male div/sep,none,2,car,33,unknown,unknown,1,skilled,1,yes,YES,1995,2,GOOD
Other,Texas,2,18.0,existing paid,new car,2315.0,"(34.309, 65.862]",2,1,female div/dep/mar,unknown,1,real estate,35,none,own,1,unskilled resident,1,unknown,NO,1995,2,GOOD
Other,Texas,1,48.0,existing paid,used car,2315.0,"(7.154, 34.309]",1,4,male single,none,3,life insurance,26,none,own,1,skilled,2,unknown,YES,1995,2,BAD
Other,Texas,5,48.0,delayed previously,other,2315.0,"(98.282, 9298.08]",4,2,male single,none,-1,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,1995,2,GOOD
Other,Texas,5,12.0,existing paid,radio/tv,1092.0,"(7.154, 34.309]",0,4,female div/dep/mar,unknown,4,real estate,33,none,own,2,skilled,1,unknown,NO,1995,2,GOOD
Dallas,Texas,1,24.0,unknown,radio/tv,1024.0,"(-0.001, 7.154]",2,4,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,YES,1995,2,BAD
Harris,Texas,5,12.0,existing paid,business,1076.0,"(-0.001, 7.154]",0,2,unknown,none,2,real estate,26,unknown,own,1,skilled,1,yes,NO,1995,2,BAD
Bexar,Texas,5,36.0,existing paid,used car,9398.0,"(65.862, 98.282]",2,1,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,YES,1995,2,GOOD
Other,Utah,0,24.0,critical/other existing credit,used car,6419.0,"(7.154, 34.309]",3,2,female div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,NO,1995,2,BAD
Other,Virginia,8,18.0,critical/other existing credit,used car,2315.0,"(34.309, 65.862]",3,4,male single,none,4,no known property,56,none,for free,1,skilled,1,none,NO,1995,2,GOOD
Other,Virginia,5,48.0,critical/other existing credit,business,7629.0,"(-0.001, 7.154]",3,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,NO,1995,2,BAD
Other,Virginia,5,48.0,existing paid,furniture/equipment,9960.0,"(34.309, 65.862]",2,1,unknown,none,2,car,26,none,own,1,skilled,1,unknown,YES,1995,2,GOOD
Other,Virginia,5,12.0,existing paid,used car,4675.0,"(-0.001, 7.154]",5,1,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,NO,1995,3,BAD
Norfolk,Virginia,5,10.0,existing paid,unknown,1287.0,"(-0.001, 7.154]",5,4,male single,co applicant,2,life insurance,45,none,unknown,1,unskilled resident,1,unknown,YES,1995,3,GOOD
Other,Virginia,5,18.0,unknown,furniture/equipment,2515.0,"(-0.001, 7.154]",0,3,male single,none,4,real estate,43,none,own,-1,skilled,1,yes,YES,1995,3,BAD
Other,Virginia,5,21.0,critical/other existing credit,furniture/equipment,2745.0,"(98.282, 9298.08]",1,3,male single,none,2,car,32,none,own,2,skilled,1,yes,YES,1995,3,GOOD
Other,Washington,5,6.0,existing paid,new car,672.0,"(-0.001, 7.154]",4,1,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,NO,1995,3,GOOD
Other,Washington,5,36.0,unknown,radio/tv,3804.0,"(-0.001, 7.154]",0,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,YES,1995,3,GOOD
